# Inferred digitization from 2403.02400.pdf-0019-05.png.
beta_omega_c,inv_nu_perp,alpha_xy
100,0.33,0.10
1000,0.32,0.10
10000,0.31,0.10
100000,0.31,0.10
100,0.34,0.15
1000,0.34,0.15
10000,0.34,0.15
100000,0.34,0.15
100,0.35,0.20
1000,0.35,0.20
10000,0.36,0.20
100000,0.36,0.20
100,0.37,0.25
1000,0.37,0.25
10000,0.38,0.25
100000,0.38,0.25
100,0.39,0.317
1000,0.41,0.317
10000,0.42,0.317
100000,0.43,0.317
100,0.43,0.40
1000,0.45,0.40
10000,0.46,0.40
100000,0.47,0.40
100,0.50,0.50
1000,0.52,0.50
10000,0.54,0.50
100000,0.56,0.50

