# Inferred digitization from 2403.02400.pdf-0019-05.png.
beta_omega_c,inv_nu_perp,alpha_xy
100,0.23,0.10
1000,0.25,0.10
10000,0.27,0.10
100000,0.28,0.10
100,0.28,0.15
1000,0.30,0.15
10000,0.32,0.15
100000,0.33,0.15
100,0.31,0.20
1000,0.33,0.20
10000,0.35,0.20
100000,0.36,0.20
100,0.37,0.25
1000,0.39,0.25
10000,0.41,0.25
100000,0.43,0.25
100,0.42,0.317
1000,0.44,0.317
10000,0.46,0.317
100000,0.48,0.317
100,0.46,0.40
1000,0.49,0.40
10000,0.52,0.40
100000,0.54,0.40
100,0.50,0.50
1000,0.52,0.50
10000,0.55,0.50
100000,0.58,0.50

