T_over_J,clock_delta_0,clock_delta_1,clock_delta_2,clock_delta_3,clock_delta_4,clock_delta_5,clock_delta_6,clock_delta_7
0.40,0.00,0.02,0.03,0.05,0.08,0.10,0.12,0.15
0.44,0.00,0.04,0.07,0.10,0.15,0.20,0.28,0.35
0.46,0.01,0.06,0.12,0.20,0.30,0.43,0.58,0.72
0.48,0.03,0.10,0.18,0.30,0.45,0.62,0.78,0.90
0.50,0.06,0.15,0.25,0.38,0.52,0.67,0.82,0.95
0.54,0.08,0.20,0.34,0.50,0.66,0.80,0.92,1.00
0.58,0.10,0.25,0.42,0.60,0.76,0.88,0.98,1.04
0.62,0.12,0.31,0.50,0.68,0.82,0.93,1.00,1.06
0.66,0.15,0.38,0.58,0.75,0.88,0.97,1.04,1.08
0.70,0.18,0.44,0.64,0.80,0.92,1.00,1.06,1.10
0.74,0.20,0.48,0.68,0.84,0.95,1.02,1.08,1.10
