T_over_J,dual_delta_0,dual_delta_1,dual_delta_2,dual_delta_3,dual_delta_4,dual_delta_5,dual_delta_6,dual_delta_7
0.40,0.00,0.03,0.05,0.08,0.10,0.12,0.14,0.16
0.44,0.02,0.06,0.10,0.15,0.20,0.27,0.34,0.42
0.46,0.04,0.12,0.20,0.32,0.46,0.62,0.78,0.92
0.48,0.06,0.18,0.30,0.44,0.58,0.72,0.86,1.00
0.50,0.08,0.24,0.38,0.52,0.66,0.80,0.92,1.03
0.54,0.10,0.31,0.46,0.62,0.76,0.88,0.99,1.06
0.58,0.12,0.36,0.52,0.68,0.82,0.94,1.02,1.08
0.62,0.14,0.40,0.58,0.74,0.88,0.98,1.05,1.10
0.66,0.16,0.44,0.64,0.80,0.92,1.00,1.07,1.10
0.70,0.18,0.48,0.70,0.84,0.96,1.03,1.09,1.10
0.74,0.20,0.51,0.74,0.88,0.99,1.05,1.10,1.10
