lambda,qmc_mean,qmc_error,cst_mean,cst_error
1.000000000000000056e-01,-5.016626763297121760e-01,4.178049787900736459e-06,-5.016665731854825783e-01,2.317743774682412550e-10
2.000000000000000111e-01,-5.066672081543087680e-01,2.534842767936193420e-06,-5.066651483889328400e-01,2.341349336631992628e-12
2.999999999999999889e-01,-5.149946471982334018e-01,2.325167177696808304e-06,-5.149921857144940107e-01,6.543174890794034582e-10
4.000000000000000222e-01,-5.266472160578636874e-01,2.481007303031655279e-06,-5.266420939889462360e-01,1.241172720156669129e-10
5.000000000000000000e-01,-5.416360357935503522e-01,2.492199030579447316e-06,-5.416102560820902356e-01,1.071593258572534069e-09
5.999999999999999778e-01,-5.599698429678751088e-01,2.392138898504985589e-06,-5.599033555971505427e-01,3.509992296812924906e-11
6.999999999999999556e-01,-5.816921398194951909e-01,1.999175103030903001e-06,-5.815643313643404921e-01,2.941719534632625255e-09
8.000000000000000444e-01,-6.069055385283131931e-01,1.719377106885612934e-06,-6.067211591903136636e-01,3.267869641554455029e-09
9.000000000000000222e-01,-6.358549126365515836e-01,1.927191381782405095e-06,-6.356808500019405228e-01,9.807396150751657160e-08
9.200000000000000400e-01,-6.421398108109080960e-01,2.218862040254306812e-06,,
9.499999999999999556e-01,-6.519290504006668430e-01,2.728791445877902447e-06,-6.517950005694118643e-01,2.657209143608341151e-06
9.599999999999999645e-01,-6.552891515401986222e-01,1.404350380768932328e-06,-6.551649100534682191e-01,1.026708382378949125e-05
9.699999999999999734e-01,-6.587124009513140033e-01,1.872884385720084200e-06,-6.585952157398613505e-01,1.622304767512350310e-05
9.799999999999999822e-01,-6.622002684025163344e-01,3.092224769503052205e-06,-6.620905086763769765e-01,2.131229820501179262e-05
9.849999999999999867e-01,-6.639757319589699724e-01,1.776686986363473360e-06,-6.638743094815453549e-01,1.613506028863564978e-05
9.899999999999999911e-01,-6.657648629054685463e-01,2.572895449952451146e-06,-6.656748113147243906e-01,1.321208749616165079e-05
9.925000000000000488e-01,-6.666717617052863032e-01,1.666401181999614063e-06,-6.665862801384612180e-01,9.191718629786294059e-06
9.949999999999999956e-01,-6.675812582455661337e-01,2.199325675629130673e-06,-6.675068179014100878e-01,3.138462629448390828e-06
9.975000000000000533e-01,-6.685082089350675716e-01,1.738436357800346200e-06,-6.684379181393830249e-01,3.617374775499726525e-06
9.979999999999999982e-01,-6.686930085167052118e-01,1.976202416626801102e-06,-6.686255522603593571e-01,4.480525258365730679e-06
9.982499999999999707e-01,-6.687853359776578799e-01,1.700613859934771004e-06,-6.687195569170134579e-01,4.712840266929418931e-06
9.987500000000000266e-01,-6.689734190362844890e-01,1.964118106226448964e-06,-6.689079517539863184e-01,4.471714260323444989e-06
9.989999999999999991e-01,-6.690679978846695297e-01,1.848087560980868511e-06,-6.690023451279779598e-01,3.746023844453105767e-06
9.992499999999999716e-01,-6.691591967570723609e-01,1.800347745961388136e-06,-6.690968735253010058e-01,2.225299414959636124e-06
1.000000000000000000e+00,-6.694442393932881208e-01,1.883928833868124873e-06,,
