lambda,qmc_mean,qmc_error,cst_mean,cst_error
1.000000000000000056e-01,1.985961380897265371e+00,6.381281522175418289e-03,1.983342673207005413e+00,1.202276944667346470e-09
2.000000000000000111e-01,1.943510810976022185e+00,4.236208358901898639e-03,1.933487698800699039e+00,2.155458922459274618e-09
2.999999999999999889e-01,1.858593030584501093e+00,3.603998162820318176e-03,1.850819619913755654e+00,1.196881926901482984e-09
4.000000000000000222e-01,1.743568987857372576e+00,3.448648267453442110e-03,1.736067154382270994e+00,1.882913158723908964e-09
5.000000000000000000e-01,1.597801176749527485e+00,3.146230030730022987e-03,1.590311302382474645e+00,4.879953552361371294e-09
5.999999999999999778e-01,1.423295232147083311e+00,2.529904800650397464e-03,1.414574339138980674e+00,7.027709747475796576e-09
6.500000000000000222e-01,1.324541151789063065e+00,2.545798378668718068e-03,1.315411587227682144e+00,1.136762484144071550e-08
6.999999999999999556e-01,1.217089009396033816e+00,2.067826585749265537e-03,1.208139280200060339e+00,9.857651583899951220e-09
7.500000000000000000e-01,1.102515148991017213e+00,2.322849510628422886e-03,1.091656767286583785e+00,5.208016595759090706e-08
8.000000000000000444e-01,9.740301324116700243e-01,2.288655639585156221e-03,9.638433057038433560e-01,3.360172474708988943e-07
8.499999999999999778e-01,8.217914364518179582e-01,1.970708470485254757e-03,8.207121073651453269e-01,2.766192015113411173e-06
9.000000000000000222e-01,6.548896081549173687e-01,3.452604905005773623e-03,6.545971829157177790e-01,1.236513678715134290e-05
9.499999999999999556e-01,4.453453865816960899e-01,2.484443052933508079e-03,4.474245541925838676e-01,2.949782516373788965e-04
9.599999999999999645e-01,3.959453559615475626e-01,2.951586539233896217e-03,3.962958840071463817e-01,1.385669700650737912e-03
9.699999999999999734e-01,3.406158478646723609e-01,4.332434350286712421e-03,3.393525082953870453e-01,2.979021055111219507e-03
9.799999999999999822e-01,2.657435073275475901e-01,3.914419125301218765e-03,2.741107868436378769e-01,6.303107402606922260e-03
9.849999999999999867e-01,2.357912505013057824e-01,5.446952201721578374e-03,2.378624873794702443e-01,6.664195209500733963e-03
9.875000000000000444e-01,2.098767942230175265e-01,4.332364665334396958e-03,2.160872302176842230e-01,8.247695195277932045e-03
9.899999999999999911e-01,1.838966106517623267e-01,4.610884966032145760e-03,1.920834935840105007e-01,1.024279154886051368e-02
9.925000000000000488e-01,1.581273271802658975e-01,3.612802629003034147e-03,1.650249269567320431e-01,1.281579923448764036e-02
9.949999999999999956e-01,1.295266017883283105e-01,3.121323316282676764e-03,1.333490211375388812e-01,1.630510432925591502e-02
9.975000000000000533e-01,8.742416931253105261e-02,2.509966925438665564e-03,9.308868212644672013e-02,2.173701066191457976e-02
9.979999999999999982e-01,7.729991273479597247e-02,2.465491581452376908e-03,8.311562674431900721e-02,2.336439104797392863e-02
9.982499999999999707e-01,7.504317660815851276e-02,1.863146644237386297e-03,7.761896690851852187e-02,2.431978313937178948e-02
9.985000000000000542e-01,6.973528125525541022e-02,1.845558143065862289e-03,7.181210260669299017e-02,2.541068221046410835e-02
9.987500000000000266e-01,6.635354289759365365e-02,2.121234340349331237e-03,6.554689906843738645e-02,2.668946631325821994e-02
9.989999999999999991e-01,5.424030141398750171e-02,2.553630799753443033e-03,5.868376533264701989e-02,2.823508208649481988e-02
9.992499999999999716e-01,4.744756468468802613e-02,2.576052443770007836e-03,5.099554624347593657e-02,3.002292232914575282e-02
