lambda,qmc_mean,qmc_error,cst_mean,cst_error
1.000000000000000056e-01,4.984456505428941364e-01,4.147632231821096337e-04,4.988900000000000001e-01,1.110199999999999951e-09
2.000000000000000111e-01,4.953549608914251112e-01,3.753192662168062382e-04,4.955300000000000260e-01,4.440900000000000247e-09
2.999999999999999889e-01,4.895877297127860239e-01,4.028087220747003758e-04,4.898600000000000176e-01,2.220399999999999901e-09
4.000000000000000222e-01,4.817517781996237813e-01,3.244954952001978532e-04,4.817799999999999860e-01,4.440900000000000247e-09
5.000000000000000000e-01,4.700176327315191971e-01,4.792473008004457776e-04,4.711299999999999932e-01,4.440900000000000247e-09
5.999999999999999778e-01,4.574068107756089074e-01,4.624109159642992672e-04,4.576600000000000112e-01,1.110199999999999951e-09
6.999999999999999556e-01,4.395916069799651327e-01,3.764568719236024942e-04,4.407800000000000051e-01,2.220399999999999901e-09
8.000000000000000444e-01,4.168773963539050831e-01,3.379416449148020312e-04,4.190099999999999936e-01,8.881800000000000493e-09
9.000000000000000222e-01,3.851156889984801990e-01,2.822346209437047340e-04,3.881100000000000105e-01,1.182499999999999944e-05
9.200000000000000400e-01,3.769217596120385538e-01,3.416511191595189480e-04,3.798699999999999855e-01,8.768500000000000835e-06
9.499999999999999556e-01,3.622045403467383795e-01,3.208439540351301568e-04,3.650700000000000056e-01,5.783300000000000008e-05
9.599999999999999645e-01,3.576325994494668481e-01,8.524952470588085130e-04,,
9.699999999999999734e-01,3.502694885351777532e-01,9.179370816995930174e-04,,
9.799999999999999822e-01,3.406660322133996943e-01,6.112749861648856219e-04,3.448499999999999899e-01,1.180199999999999983e-04
9.849999999999999867e-01,3.370192649876018742e-01,8.766307437770284525e-04,,
9.899999999999999911e-01,3.317486297961698138e-01,3.472290725537024720e-04,3.358599999999999919e-01,5.683999999999999789e-05
9.925000000000000488e-01,3.293839437002840653e-01,6.977183916362338090e-04,3.315500000000000114e-01,7.958200000000000343e-04
9.949999999999999956e-01,3.264749633169499732e-01,5.898034902227959142e-04,3.261299999999999755e-01,4.812699999999999617e-03
9.975000000000000533e-01,3.206926667145877929e-01,6.940240932222823322e-04,3.191599999999999993e-01,4.812699999999999617e-03
9.979999999999999982e-01,3.188031536072714056e-01,4.624936273376327608e-04,3.175100000000000144e-01,4.812699999999999617e-03
9.982499999999999707e-01,3.181058921482028401e-01,5.163455989527376442e-04,3.166399999999999770e-01,4.812699999999999617e-03
9.987500000000000266e-01,3.160269112717175033e-01,5.786160366341115474e-04,3.148000000000000242e-01,4.812699999999999617e-03
9.989999999999999991e-01,3.160388911281817315e-01,6.587545265752925948e-04,3.138099999999999778e-01,4.812699999999999617e-03
9.992499999999999716e-01,3.147299688853132937e-01,5.723483214229653677e-04,3.127599999999999825e-01,4.812699999999999617e-03
1.000000000000000000e+00,3.073958804037894565e-01,1.550387278380728809e-04,,
