r_ij,mean,error
1,0.08485451,1.84e-06
2,0.02522571,1.73e-06
3,0.0137374,7.85e-07
4,0.007534686,5.23e-07
5,0.004810207,3.92e-07
6,0.00305714,3.79e-07
7,0.00208093,3.78e-07
8,0.00140525,3.66e-07
9,0.000989079,3.15e-07
10,0.000690607,2.05e-07
11,0.000496552,2.75e-07
12,0.000354032,1.48e-07
13,0.000258039,1.11e-07
14,0.000187102,1.47e-07
15,0.000137904,9.6e-08
16,0.00010124,1.13e-07
17,7.56364e-05,7.35e-08
18,5.6472e-05,8.37e-08
19,4.3237e-05,5.31e-08
20,3.3394e-05,4.16e-08
21,2.6816e-05,3.46e-08
22,2.2388e-05,3.33e-08
23,1.9935e-05,4.73e-08
24,1.9138e-05,4.11e-08
