lambda,L,rij,rescaled_correlation
0.96,16,1,0.085
0.96,16,4,0.022
0.96,16,8,0.0090
0.96,16,12,0.0042
0.96,16,16,0.0028
0.96,16,20,0.0016
0.96,16,24,0.0008
0.96,32,1,0.085
0.96,32,4,0.020
0.96,32,8,0.0080
0.96,32,12,0.0039
0.96,32,16,0.0021
0.96,32,20,0.0011
0.96,32,24,0.00065
0.96,32,28,0.00040
0.96,48,1,0.085
0.96,48,4,0.020
0.96,48,8,0.0077
0.96,48,12,0.0037
0.96,48,16,0.0018
0.96,48,20,0.00085
0.96,48,24,0.00048
0.96,48,28,0.00030
0.96,64,1,0.085
0.96,64,4,0.020
0.96,64,8,0.0075
0.96,64,12,0.0035
0.96,64,16,0.0016
0.96,64,20,0.00072
0.96,64,24,0.00038
0.96,64,28,0.00021
0.96,64,31,0.00008
