lambda,cst_mean,cst_error,qmc_second_moment_mean,qmc_second_moment_error,qmc_corrfuncfit_mean,qmc_corrfuncfit_error
8.000000000000000444e-01,1.511919651750197380e+00,1.915301529220592158e-05,1.494201689275292066e+00,1.059933153160380094e-03,1.515993880075207523e+00,2.369437001413326332e-03
8.499999999999999778e-01,1.835163338388129839e+00,1.841735249923370787e-04,1.813958454734023285e+00,5.235992748828813487e-04,1.839897853120255000e+00,9.392073273319731129e-04
9.000000000000000222e-01,2.373826842189481479e+00,4.949472390944897882e-04,2.351396813386133378e+00,2.687216004758929988e-04,2.381674680292047430e+00,6.505532919458625624e-04
9.200000000000000400e-01,,,2.697884331601551278e+00,3.467844942803555153e-04,2.731498003821678289e+00,5.932415609784765561e-04
9.499999999999999556e-01,3.570327926920572992e+00,3.044847592023280924e-03,3.568479036778821278e+00,3.337989369549074366e-04,3.612617650526801949e+00,5.755238835097186041e-04
9.599999999999999645e-01,4.029050265022518396e+00,1.336634258094537842e-02,4.060767764677588154e+00,2.042449800311234114e-04,4.102724582766581030e+00,3.694267559215896565e-04
9.699999999999999734e-01,4.710788319548866454e+00,3.835003819132509761e-02,4.783738184188335296e+00,2.888160872706899227e-04,4.825190231460041446e+00,6.789293649956487132e-04
9.799999999999999822e-01,5.858623500422003971e+00,1.242229893756299219e-01,6.005493131335786217e+00,2.723197660198223465e-03,6.032865598884123770e+00,1.075859022585023235e-03
9.849999999999999867e-01,6.844449069549190412e+00,1.757368267992802657e-01,7.043551283326068280e+00,3.762608288612751505e-03,7.074421128603425757e+00,1.420250087634931935e-03
9.899999999999999911e-01,8.495055055569363134e+00,4.075331080894049052e-01,8.850951687665560286e+00,5.567836376935850207e-03,8.852826951875361061e+00,2.343156226556509115e-03
