lambda,cst_minus_qmc,error
1.000000000000000056e-01,-3.89686e-06,4.17805e-06
2.000000000000000111e-01,2.05977e-06,2.53484e-06
2.999999999999999889e-01,2.46148e-06,2.32517e-06
4.000000000000000222e-01,5.12207e-06,2.48101e-06
5.000000000000000000e-01,2.57797e-05,2.4922e-06
5.999999999999999778e-01,6.64874e-05,2.39214e-06
6.999999999999999556e-01,0.000127808,1.99918e-06
8.000000000000000444e-01,0.000184379,1.71938e-06
9.000000000000000222e-01,0.000174063,1.92969e-06
9.499999999999999556e-01,0.00013405,3.80881e-06
9.599999999999999645e-01,0.000124241,1.03627e-05
9.699999999999999734e-01,0.000117185,1.63308e-05
9.799999999999999822e-01,0.00010976,2.15355e-05
9.849999999999999867e-01,0.000101422,1.62326e-05
9.899999999999999911e-01,9.00516e-05,1.34603e-05
9.925000000000000488e-01,8.54816e-05,9.34155e-06
9.949999999999999956e-01,7.44403e-05,3.83236e-06
9.975000000000000533e-01,7.02908e-05,4.01342e-06
9.979999999999999982e-01,6.74563e-05,4.89699e-06
9.982499999999999707e-01,6.57791e-05,5.01028e-06
9.987500000000000266e-01,6.54673e-05,4.88405e-06
9.989999999999999991e-01,6.56528e-05,4.17709e-06
9.992499999999999716e-01,6.23232e-05,2.86238e-06
