lambda,cst_minus_qmc,error
1.000000000000000056e-01,-0.00261871,0.00638128
2.000000000000000111e-01,-0.0100231,0.00423621
2.999999999999999889e-01,-0.00777341,0.003604
4.000000000000000222e-01,-0.00750183,0.00344865
5.000000000000000000e-01,-0.00748987,0.00314623
5.999999999999999778e-01,-0.00872089,0.0025299
6.500000000000000222e-01,-0.00912956,0.0025458
6.999999999999999556e-01,-0.00894973,0.00206783
7.500000000000000000e-01,-0.0108584,0.00232285
8.000000000000000444e-01,-0.0101868,0.00228866
8.499999999999999778e-01,-0.00107933,0.00197071
9.000000000000000222e-01,-0.000292425,0.00345263
9.499999999999999556e-01,0.00207917,0.00250189
9.599999999999999645e-01,0.000350528,0.00326067
9.699999999999999734e-01,-0.00126334,0.00525781
9.799999999999999822e-01,0.00836728,0.00741969
9.849999999999999867e-01,0.00207124,0.00860702
9.875000000000000444e-01,0.00621044,0.00931632
9.899999999999999911e-01,0.00818688,0.0112328
9.925000000000000488e-01,0.0068976,0.0133153
9.949999999999999956e-01,0.00382242,0.0166012
9.975000000000000533e-01,0.00566451,0.0218814
9.979999999999999982e-01,0.00581571,0.0234941
9.982499999999999707e-01,0.00257579,0.024391
9.985000000000000542e-01,0.00207682,0.0254776
9.987500000000000266e-01,-0.000806644,0.0267736
9.989999999999999991e-01,0.00444346,0.0283503
9.992499999999999716e-01,0.00354798,0.0301332
