lambda,cst_minus_qmc,error
1.000000000000000056e-01,0.000444349,0.000414763
2.000000000000000111e-01,0.000175039,0.000375319
2.999999999999999889e-01,0.00027227,0.000402809
4.000000000000000222e-01,2.82218e-05,0.000324495
5.000000000000000000e-01,0.00111237,0.000479247
5.999999999999999778e-01,0.000253189,0.000462411
6.999999999999999556e-01,0.00118839,0.000376457
8.000000000000000444e-01,0.0021326,0.000337942
9.000000000000000222e-01,0.00299431,0.000282482
9.200000000000000400e-01,0.00294824,0.000341764
9.499999999999999556e-01,0.00286546,0.000326015
9.799999999999999822e-01,0.00418397,0.000622564
9.899999999999999911e-01,0.00411137,0.000351851
9.925000000000000488e-01,0.00216606,0.00105837
9.949999999999999956e-01,-0.000344963,0.00484871
9.975000000000000533e-01,-0.00153267,0.00486248
9.979999999999999982e-01,-0.00129315,0.00483487
9.982499999999999707e-01,-0.00146589,0.00484032
9.987500000000000266e-01,-0.00122691,0.00484736
9.989999999999999991e-01,-0.00222889,0.00485758
9.992499999999999716e-01,-0.00196997,0.00484661
