rb_over_a,delta_over_omega,entanglement_negativity
1,0,0.0843064638039
1,0.1379310345,0.0941959642221
1,0.275862069,0.10374438174
1,0.4137931034,0.11255152547
1,0.5517241379,0.120204545389
1,0.6896551724,0.126302465567
1,0.8275862069,0.130491560763
1,0.9655172414,0.132507861964
1,1.103448276,0.132217276679
1,1.24137931,0.129639456372
1,1.379310345,0.124944163353
1,1.517241379,0.118421741348
1,1.655172414,0.11044174095
1,1.793103448,0.101410671088
1,1.931034483,0.0917393704851
1,2.068965517,0.0818254637558
1,2.206896552,0.0720270203246
1,2.344827586,0.0626521928711
1,2.482758621,0.0539415041352
1,2.620689655,0.0460565944681
1,2.75862069,0.0390797495803
1,2.896551724,0.0330242487668
1,3.034482759,0.0278496294595
1,3.172413793,0.0234797813095
1,3.310344828,0.0198204080578
1,3.448275862,0.0167712964717
1,3.586206897,0.0142383271255
1,3.724137931,0.0121366402383
1,3.862068966,0.0103903227811
1,4,0.00893618697
1.0464,0,0.0979700436216
1.0464,0.1379310345,0.110195699136
1.0464,0.275862069,0.122625319287
1.0464,0.4137931034,0.134960326866
1.0464,0.5517241379,0.146863215082
1.0464,0.6896551724,0.157950821857
1.0464,0.8275862069,0.167789680059
1.0464,0.9655172414,0.175909709153
1.0464,1.103448276,0.181843514945
1.0464,1.24137931,0.185195116373
1.0464,1.379310345,0.185717626413
1.0464,1.517241379,0.1833719381
1.0464,1.655172414,0.178335098981
1.0464,1.793103448,0.170957560474
1.0464,1.931034483,0.161689634362
1.0464,2.068965517,0.151004784959
1.0464,2.206896552,0.139352318939
1.0464,2.344827586,0.127133413134
1.0464,2.482758621,0.114701930479
1.0464,2.620689655,0.102370013064
1.0464,2.75862069,0.0904127582859
1.0464,2.896551724,0.0790720768303
1.0464,3.034482759,0.0685416251576
1.0464,3.172413793,0.0589631039155
1.0464,3.310344828,0.0504150940365
1.0464,3.448275862,0.0429157831853
1.0464,3.586206897,0.036432803622
1.0464,3.724137931,0.0308954759371
1.0464,3.862068966,0.0262091100889
1.0464,4,0.0222684383331
1.0928,0,0.110914181759
1.0928,0.1379310345,0.125321444096
1.0928,0.275862069,0.140520014362
1.0928,0.4137931034,0.156392898733
1.0928,0.5517241379,0.172826094552
1.0928,0.6896551724,0.18968714892
1.0928,0.8275862069,0.206787886191
1.0928,0.9655172414,0.223811693661
1.0928,1.103448276,0.24020314165
1.0928,1.24137931,0.255064432054
1.0928,1.379310345,0.267247372753
1.0928,1.517241379,0.27575071908
1.0928,1.655172414,0.280110485269
