N,quantity,rb_over_a,T_over_omega,value
13,purity,1.0,0.20,0.75
13,purity,1.4,0.20,0.98
13,purity,1.8,0.20,0.85
13,purity,2.1,0.20,0.20
13,purity,2.3,0.20,0.85
13,purity,1.0,0.40,0.45
13,purity,1.4,0.40,0.95
13,purity,1.8,0.40,0.65
13,purity,2.1,0.40,0.12
13,purity,2.3,0.40,0.65
13,norm_loss_10pct,1.0,0.75,
13,norm_loss_10pct,1.4,1.00,
13,norm_loss_10pct,1.8,0.85,
13,norm_loss_10pct,2.1,0.50,
13,norm_loss_10pct,2.3,0.90,
13,norm_loss_1pct,1.0,0.55,
13,norm_loss_1pct,1.4,0.80,
13,norm_loss_1pct,1.8,0.70,
13,norm_loss_1pct,2.1,0.30,
13,norm_loss_1pct,2.3,0.60,
13,norm_loss_0.1pct,1.0,0.45,
13,norm_loss_0.1pct,1.4,0.70,
13,norm_loss_0.1pct,1.8,0.55,
13,norm_loss_0.1pct,2.1,0.20,
13,norm_loss_0.1pct,2.3,0.45,
25,purity,1.0,0.20,0.65
25,purity,1.4,0.20,0.95
25,purity,1.8,0.20,0.75
25,purity,2.1,0.20,0.12
25,purity,2.3,0.20,0.70
25,purity,1.0,0.40,0.35
25,purity,1.4,0.40,0.85
25,purity,1.8,0.40,0.55
25,purity,2.1,0.40,0.10
25,purity,2.3,0.40,0.50
25,norm_loss_10pct,1.0,0.55,
25,norm_loss_10pct,1.4,0.75,
25,norm_loss_10pct,1.8,0.65,
25,norm_loss_10pct,2.1,0.35,
25,norm_loss_10pct,2.3,0.70,
25,norm_loss_1pct,1.0,0.38,
25,norm_loss_1pct,1.4,0.58,
25,norm_loss_1pct,1.8,0.50,
25,norm_loss_1pct,2.1,0.22,
25,norm_loss_1pct,2.3,0.50,
25,norm_loss_0.1pct,1.0,0.30,
25,norm_loss_0.1pct,1.4,0.48,
25,norm_loss_0.1pct,1.8,0.40,
25,norm_loss_0.1pct,2.1,0.15,
25,norm_loss_0.1pct,2.3,0.38,
31,purity,1.0,0.20,0.60
31,purity,1.4,0.20,0.92
31,purity,1.8,0.20,0.70
31,purity,2.1,0.20,0.10
31,purity,2.3,0.20,0.65
31,purity,1.0,0.40,0.30
31,purity,1.4,0.40,0.80
31,purity,1.8,0.40,0.48
31,purity,2.1,0.40,0.08
31,purity,2.3,0.40,0.45
31,norm_loss_10pct,1.0,0.48,
31,norm_loss_10pct,1.4,0.68,
31,norm_loss_10pct,1.8,0.58,
31,norm_loss_10pct,2.1,0.30,
31,norm_loss_10pct,2.3,0.62,
31,norm_loss_1pct,1.0,0.32,
31,norm_loss_1pct,1.4,0.52,
31,norm_loss_1pct,1.8,0.44,
31,norm_loss_1pct,2.1,0.18,
31,norm_loss_1pct,2.3,0.44,
31,norm_loss_0.1pct,1.0,0.25,
31,norm_loss_0.1pct,1.4,0.43,
31,norm_loss_0.1pct,1.8,0.35,
31,norm_loss_0.1pct,2.1,0.12,
31,norm_loss_0.1pct,2.3,0.34,
