N,gamma_cut,delta_over_omega,rb_over_a,threshold_T_over_omega
13,0.5,0.0,1.1,0.20
13,0.5,0.0,1.6,0.20
13,0.5,0.0,2.1,0.20
13,0.5,2.0,1.1,0.22
13,0.5,2.0,1.6,0.35
13,0.5,2.0,2.1,0.52
13,0.5,4.0,1.1,0.35
13,0.5,4.0,1.6,0.60
13,0.5,4.0,2.1,0.75
13,0.9,0.0,1.1,0.08
13,0.9,0.0,1.6,0.08
13,0.9,0.0,2.1,0.08
13,0.9,2.0,1.1,0.12
13,0.9,2.0,1.6,0.20
13,0.9,2.0,2.1,0.32
13,0.9,4.0,1.1,0.20
13,0.9,4.0,1.6,0.42
13,0.9,4.0,2.1,0.65
25,0.5,0.0,1.1,0.18
25,0.5,0.0,1.6,0.18
25,0.5,0.0,2.1,0.18
25,0.5,2.0,1.1,0.20
25,0.5,2.0,1.6,0.30
25,0.5,2.0,2.1,0.46
25,0.5,4.0,1.1,0.30
25,0.5,4.0,1.6,0.55
25,0.5,4.0,2.1,0.74
25,0.9,0.0,1.1,0.07
25,0.9,0.0,1.6,0.07
25,0.9,0.0,2.1,0.07
25,0.9,2.0,1.1,0.10
25,0.9,2.0,1.6,0.18
25,0.9,2.0,2.1,0.28
25,0.9,4.0,1.1,0.18
25,0.9,4.0,1.6,0.38
25,0.9,4.0,2.1,0.62
31,0.5,0.0,1.1,0.16
31,0.5,0.0,1.6,0.16
31,0.5,0.0,2.1,0.16
31,0.5,2.0,1.1,0.18
31,0.5,2.0,1.6,0.28
31,0.5,2.0,2.1,0.43
31,0.5,4.0,1.1,0.28
31,0.5,4.0,1.6,0.52
31,0.5,4.0,2.1,0.72
31,0.9,0.0,1.1,0.06
31,0.9,0.0,1.6,0.06
31,0.9,0.0,2.1,0.06
31,0.9,2.0,1.1,0.09
31,0.9,2.0,1.6,0.16
31,0.9,2.0,2.1,0.26
31,0.9,4.0,1.1,0.16
31,0.9,4.0,1.6,0.36
31,0.9,4.0,2.1,0.60
