critical_point,N,T_over_omega,E_N,E_F,scaled_x,scaled_E_N,scaled_E_F
Ising,13,0.02,0.140,0.126,0.26, -0.075, -0.088
Ising,13,0.06,0.136,0.126,0.78, -0.080, -0.088
Ising,13,0.10,0.128,0.123,1.30, -0.086, -0.091
Ising,13,0.14,0.119,0.119,1.82, -0.095, -0.095
Ising,13,0.18,0.110,,2.34, -0.104,
Ising,25,0.02,0.190,0.181,0.50, -0.071, -0.093
Ising,25,0.06,0.187,0.181,1.50, -0.074, -0.093
Ising,25,0.10,0.176,0.178,2.50, -0.085, -0.096
Ising,25,0.14,0.158,0.174,3.50, -0.103, -0.100
Ising,25,0.18,0.140,,4.50, -0.121,
Ising,31,0.02,0.200,0.205,0.62, -0.068, -0.094
Ising,31,0.06,0.198,0.205,1.86, -0.070, -0.094
Ising,31,0.10,0.188,0.202,3.10, -0.080, -0.097
Ising,31,0.14,0.170,0.195,4.34, -0.098, -0.104
Ising,31,0.18,0.150,,5.58, -0.118,
Potts,13,0.02,0.180,0.170,0.26, -0.075, -0.088
Potts,13,0.08,0.170,0.170,1.04, -0.085, -0.088
Potts,13,0.16,0.145,0.164,2.08, -0.100, -0.094
Potts,13,0.24,0.115,0.160,3.12, -0.115, -0.098
Potts,13,0.36,0.080,,4.68, -0.135,
Potts,25,0.02,0.270,0.258,0.50, -0.071, -0.093
Potts,25,0.08,0.265,0.258,2.00, -0.076, -0.093
Potts,25,0.16,0.235,0.252,4.00, -0.096, -0.099
Potts,25,0.24,0.200,0.248,6.00, -0.115, -0.103
Potts,25,0.36,0.160,,9.00, -0.135,
Potts,31,0.02,0.300,0.290,0.62, -0.068, -0.094
Potts,31,0.08,0.290,0.290,2.48, -0.078, -0.094
Potts,31,0.16,0.255,0.285,4.96, -0.101, -0.099
Potts,31,0.24,0.215,0.280,7.44, -0.125, -0.104
Potts,31,0.36,0.175,,11.16, -0.145,
