critical_point,m,T_over_omega,norm_loss,energy,E_N
Ising,30,0.02,0.00000001,-49.95,0.200
Ising,30,0.08,0.0001,-49.80,0.155
Ising,30,0.16,0.010,-49.55,0.120
Ising,30,0.28,0.025,-49.40,0.095
Ising,30,0.40,0.040,-49.30,0.085
Ising,40,0.02,0.00000001,-49.95,0.200
Ising,40,0.08,0.0001,-49.80,0.157
Ising,40,0.16,0.008,-49.56,0.122
Ising,40,0.28,0.018,-49.30,0.100
Ising,40,0.40,0.030,-49.15,0.090
Ising,50,0.02,0.00000001,-49.95,0.200
Ising,50,0.08,0.0001,-49.80,0.158
Ising,50,0.16,0.007,-49.57,0.124
Ising,50,0.28,0.014,-49.22,0.104
Ising,50,0.40,0.024,-49.05,0.095
Ising,60,0.02,0.00000001,-49.95,0.200
Ising,60,0.08,0.0001,-49.80,0.159
Ising,60,0.16,0.006,-49.58,0.126
Ising,60,0.28,0.012,-49.15,0.108
Ising,60,0.40,0.018,-48.95,0.100
Potts,30,0.02,0.0000001,-19.95,0.300
Potts,30,0.08,0.0001,-19.75,0.245
Potts,30,0.16,0.010,-19.45,0.205
Potts,30,0.28,0.060,-19.25,0.175
Potts,30,0.40,0.180,-19.20,0.155
Potts,40,0.02,0.0000001,-19.95,0.300
Potts,40,0.08,0.0001,-19.75,0.248
Potts,40,0.16,0.008,-19.42,0.210
Potts,40,0.28,0.045,-19.10,0.185
Potts,40,0.40,0.140,-18.95,0.165
Potts,50,0.02,0.0000001,-19.95,0.300
Potts,50,0.08,0.0001,-19.75,0.250
Potts,50,0.16,0.007,-19.40,0.215
Potts,50,0.28,0.035,-19.00,0.195
Potts,50,0.40,0.100,-18.80,0.180
Potts,60,0.02,0.0000001,-19.95,0.300
Potts,60,0.08,0.0001,-19.75,0.252
Potts,60,0.16,0.006,-19.38,0.220
Potts,60,0.28,0.028,-18.92,0.202
Potts,60,0.40,0.080,-18.65,0.190
Ising,LPTN,0.02,, -49.95,
Ising,LPTN,0.08,, -49.80,
Ising,LPTN,0.16,, -49.55,
Ising,LPTN,0.28,, -49.00,
Ising,LPTN,0.40,, -48.40,
Potts,LPTN,0.02,, -19.95,
Potts,LPTN,0.08,, -19.75,
Potts,LPTN,0.16,, -19.35,
Potts,LPTN,0.28,, -18.85,
Potts,LPTN,0.40,, -18.35,
