temperature_over_omega,m30,m40,m50,m60,lptn_reference
0.4,-49.2127322713,-49.2181343326,-49.2210518937,-49.2229126652,-48.4187824415
0.386896551724,-49.2293968379,-49.2343624047,-49.2370309896,-49.2387469331,-48.5202544836
0.373793103448,-49.2471693888,-49.2517065348,-49.2541280443,-49.2556986562,-48.6186934785
0.360689655172,-49.2661457374,-49.2702659187,-49.2724384905,-49.2738631321,-48.7139719715
0.347586206897,-49.2864261426,-49.2901501052,-49.29206224,-49.2933410975,-48.8059761715
0.334482758621,-49.3081137097,-49.3114705121,-49.3130997505,-49.3142374465,-48.894608
0.321379310345,-49.3313119587,-49.334315838,-49.3356564298,-49.3366591519,-48.9797869797
0.308275862069,-49.3561208077,-49.3587527052,-49.3598441488,-49.3607170642,-49.0614518461
0.295172413793,-49.3826312829,-49.3848709377,-49.385763168,-49.3864980264,-49.1395617376
0.282068965517,-49.4109192357,-49.4127698496,-49.4134998631,-49.4140986066,-49.2140967962
0.268965517241,-49.4410358527,-49.4425198674,-49.4431186488,-49.4435829493,-49.2850579937
0.255862068966,-49.4729968831,-49.474147284,-49.4746440709,-49.4749807851,-49.3524659804
0.24275862069,-49.5067703317,-49.5076259432,-49.5080312018,-49.5082649935,-49.416358753
0.229655172414,-49.5422552961,-49.5428534108,-49.5431669475,-49.5433271022,-49.4767879503
0.216551724138,-49.5792600042,-49.5796434991,-49.5798690871,-49.5799776321,-49.5338136115
0.203448275862,-49.6174833779,-49.6176950147,-49.6178451314,-49.6179167177,-49.5874972827
0.190344827586,-49.6565131489,-49.6565808935,-49.6566703358,-49.6567156493,-49.6378934058
0.17724137931,-49.6957573053,-49.695745676,-49.6957863376,-49.6958162386,-49.6850389763
0.164137931034,-49.7345338373,-49.7345076796,-49.7345295712,-49.7345434363,-49.7289414849
0.151034482759,-49.7721491812,-49.7721241869,-49.7721348082,-49.7721413764,-49.7695652105
0.137931034483,-49.8078409975,-49.8078219267,-49.8078251765,-49.8078279141,-49.8068161829
0.124827586207,-49.8408599611,-49.8408480908,-49.8408493063,-49.8408500605,-49.8405270921
0.111724137931,-49.8705287329,-49.87052353,-49.8705237387,-49.8705239905,-49.8704460177
0.0986206896552,-49.8962522076,-49.8962508762,-49.8962509084,-49.8962509502,-49.8962381879
0.0855172413793,-49.9175190502,-49.9175189648,-49.9175189918,-49.9175190008,-49.9175178124
0.0724137931034,-49.9339328266,-49.9339329508,-49.9339329612,-49.9339329643,-49.9339329178
0.0593103448276,-49.9453199106,-49.9453200226,-49.9453200294,-49.9453200323,-49.9453200319
0.0462068965517,-49.9519205598,-49.951920655,-49.9519206652,-49.951920668,-49.9519206681
0.0331034482759,-49.9546237122,-49.9546237723,-49.9546237819,-49.9546237837,-49.9546237838
0.02,-49.9551127418,-49.9551127582,-49.9551127605,-49.9551127607,-49.9551127608
