temperature_over_omega,m30,m40,m50,m60,lptn_reference
0.4,-18.4596165445,-18.7379557919,-18.8904007146,-19.0126958349,-18.4174248294
0.386896551724,-18.5101473213,-18.7785986432,-18.9249759722,-19.046711557,-18.4859201058
0.373793103448,-18.5632473373,-18.8200707471,-18.960561441,-19.0793325576,-18.5543802458
0.360689655172,-18.6181572777,-18.8627666209,-18.9976473499,-19.1108365515,-18.6228095141
0.347586206897,-18.6747044266,-18.9067967007,-19.0378183468,-19.1423133328,-18.6912159883
0.334482758621,-18.7325861038,-18.9522146624,-19.0872186979,-19.1741282246,-18.7596116619
0.321379310345,-18.7862657476,-18.9990547391,-19.1310149675,-19.2062663439,-18.8280124288
0.308275862069,-18.8622158646,-19.0473391605,-19.1711386378,-19.2387785834,-18.8964378373
0.295172413793,-18.9305453171,-19.0970774735,-19.2110467167,-19.2717977625,-18.9649104087
0.282068965517,-19.0053266566,-19.1482554568,-19.2514312568,-19.3055002788,-19.0334541506
0.268965517241,-19.0711550164,-19.2008320524,-19.2925869638,-19.3400949169,-19.1020916344
0.255862068966,-19.1364482126,-19.2548890118,-19.3346218088,-19.3758263885,-19.170838623
0.24275862069,-19.2029703822,-19.3105136962,-19.3776776285,-19.4130110829,-19.2396947127
0.229655172414,-19.2709346569,-19.3677052984,-19.4220003611,-19.4519225226,-19.308627828
0.216551724138,-19.340303114,-19.4259506264,-19.4679913812,-19.4924284069,-19.377549857
0.203448275862,-19.4108664538,-19.484543298,-19.5158453854,-19.5346197385,-19.4462806292
0.190344827586,-19.4821692364,-19.5447256765,-19.5655889791,-19.5790172802,-19.5144986267
0.17724137931,-19.5535342994,-19.601740548,-19.6170546432,-19.625901178,-19.5816805575
0.164137931034,-19.6238688461,-19.6587945183,-19.6695546842,-19.6749379422,-19.647039662
0.151034482759,-19.6915765665,-19.7152143865,-19.7222249508,-19.7254264812,-19.7094848443
0.137931034483,-19.7555501022,-19.7696379093,-19.7741056517,-19.7755809497,-19.7676362534
0.124827586207,-19.8132826993,-19.820372776,-19.8226291703,-19.8232387664,-19.8199378507
0.111724137931,-19.8617996229,-19.8646832652,-19.8657254241,-19.8659568963,-19.8648877989
0.0986206896552,-19.9000629633,-19.9011729463,-19.9015267535,-19.9016039427,-19.901353326
0.0855172413793,-19.9284570489,-19.9288043987,-19.9288836415,-19.9289029396,-19.928867442
0.0724137931034,-19.9476683177,-19.9477642781,-19.9477776674,-19.9477808272,-19.9477784676
0.0593103448276,-19.9591651562,-19.9591919879,-19.9591938676,-19.9591942693,-19.9591942366
0.0462068965517,-19.9647853663,-19.9647965294,-19.9647975177,-19.9647978082,-19.9647978014
0.0331034482759,-19.9666486095,-19.9666540256,-19.9666546088,-19.966654839,-19.9666548323
0.02,-19.9669020919,-19.9669035218,-19.9669036868,-19.9669037255,-19.9669037229
