series,Ja,Delta_n
L=80,0.00,0.78
L=80,0.10,0.65
L=80,0.20,0.52
L=80,0.30,0.38
L=80,0.40,0.22
L=80,0.45,0.10
L=80,0.50,0.02
L=80,0.60,0.00
L=80,1.00,0.00
L=120,0.00,0.78
L=120,0.10,0.64
L=120,0.20,0.51
L=120,0.30,0.37
L=120,0.40,0.20
L=120,0.45,0.08
L=120,0.50,0.01
L=120,0.60,0.00
L=120,1.00,0.00
L=160,0.00,0.79
L=160,0.10,0.65
L=160,0.20,0.52
L=160,0.30,0.38
L=160,0.40,0.21
L=160,0.45,0.07
L=160,0.50,0.01
L=160,0.60,0.00
L=160,1.00,0.00
L=200,0.00,0.79
L=200,0.10,0.65
L=200,0.20,0.52
L=200,0.30,0.38
L=200,0.40,0.20
L=200,0.45,0.06
L=200,0.50,0.00
L=200,0.60,0.00
L=200,1.00,0.00
L=inf,0.00,0.78
L=inf,0.10,0.64
L=inf,0.20,0.51
L=inf,0.30,0.36
L=inf,0.40,0.18
L=inf,0.45,0.04
L=inf,0.50,0.00
L=inf,0.60,0.00
L=inf,1.00,0.00
