series,Ja,Delta_c
L=80,0.75,2.10
L=80,1.00,1.65
L=80,1.25,1.20
L=80,1.50,0.67
L=80,1.55,0.51
L=80,1.65,0.35
L=80,1.80,0.29
L=80,2.00,0.35
L=80,2.10,0.43
L=120,0.75,2.10
L=120,1.00,1.64
L=120,1.25,1.18
L=120,1.50,0.65
L=120,1.55,0.49
L=120,1.65,0.34
L=120,1.80,0.28
L=120,2.00,0.34
L=120,2.10,0.42
L=160,0.75,2.09
L=160,1.00,1.63
L=160,1.25,1.17
L=160,1.50,0.64
L=160,1.55,0.48
L=160,1.65,0.33
L=160,1.80,0.27
L=160,2.00,0.33
L=160,2.10,0.41
L=200,0.75,2.09
L=200,1.00,1.63
L=200,1.25,1.16
L=200,1.50,0.63
L=200,1.55,0.47
L=200,1.65,0.32
L=200,1.80,0.27
L=200,2.00,0.32
L=200,2.10,0.40
L=inf,0.75,2.08
L=inf,1.00,1.62
L=inf,1.25,1.15
L=inf,1.50,0.62
L=inf,1.55,0.46
L=inf,1.65,0.31
L=inf,1.80,0.26
L=inf,2.00,0.31
L=inf,2.10,0.39
