series,Jb,Delta_c
L=80,0.75,0.00
L=80,1.25,0.00
L=80,1.45,0.01
L=80,1.55,0.12
L=80,1.65,0.35
L=80,1.80,0.70
L=80,2.00,1.02
L=80,2.10,1.20
L=120,0.75,0.00
L=120,1.25,0.00
L=120,1.45,0.01
L=120,1.55,0.12
L=120,1.65,0.34
L=120,1.80,0.69
L=120,2.00,1.01
L=120,2.10,1.19
L=160,0.75,0.00
L=160,1.25,0.00
L=160,1.45,0.01
L=160,1.55,0.11
L=160,1.65,0.34
L=160,1.80,0.68
L=160,2.00,1.00
L=160,2.10,1.18
L=200,0.75,0.00
L=200,1.25,0.00
L=200,1.45,0.01
L=200,1.55,0.11
L=200,1.65,0.33
L=200,1.80,0.67
L=200,2.00,0.99
L=200,2.10,1.17
L=inf,0.75,0.00
L=inf,1.25,0.00
L=inf,1.45,0.01
L=inf,1.55,0.10
L=inf,1.65,0.32
L=inf,1.80,0.66
L=inf,2.00,0.98
L=inf,2.10,1.16
