series,Ja,c
L=400,0.70,0.02
L=400,1.30,0.03
L=400,1.45,0.14
L=400,1.50,0.35
L=400,1.54,0.80
L=400,1.56,1.00
L=400,1.60,0.30
L=400,1.80,0.03
L=400,2.30,0.02
L=600,0.70,0.02
L=600,1.30,0.03
L=600,1.45,0.10
L=600,1.50,0.25
L=600,1.54,0.58
L=600,1.56,0.72
L=600,1.60,0.22
L=600,1.80,0.03
L=600,2.30,0.02
L=800,0.70,0.02
L=800,1.30,0.03
L=800,1.45,0.08
L=800,1.50,0.18
L=800,1.54,0.45
L=800,1.56,0.55
L=800,1.60,0.16
L=800,1.80,0.03
L=800,2.30,0.02
L=1000,0.70,0.02
L=1000,1.30,0.03
L=1000,1.45,0.06
L=1000,1.50,0.14
L=1000,1.54,0.36
L=1000,1.56,0.46
L=1000,1.60,0.13
L=1000,1.80,0.03
L=1000,2.30,0.02
