series,Jb,c
L=400,0.70,0.02
L=400,1.30,0.03
L=400,1.45,0.12
L=400,1.50,0.30
L=400,1.54,0.66
L=400,1.56,0.86
L=400,1.60,0.28
L=400,1.80,0.03
L=400,2.30,0.02
L=600,0.70,0.02
L=600,1.30,0.03
L=600,1.45,0.09
L=600,1.50,0.22
L=600,1.54,0.50
L=600,1.56,0.65
L=600,1.60,0.20
L=600,1.80,0.03
L=600,2.30,0.02
L=800,0.70,0.02
L=800,1.30,0.03
L=800,1.45,0.07
L=800,1.50,0.16
L=800,1.54,0.40
L=800,1.56,0.50
L=800,1.60,0.15
L=800,1.80,0.03
L=800,2.30,0.02
L=1000,0.70,0.02
L=1000,1.30,0.03
L=1000,1.45,0.05
L=1000,1.50,0.12
L=1000,1.54,0.32
L=1000,1.56,0.42
L=1000,1.60,0.12
L=1000,1.80,0.03
L=1000,2.30,0.02
