branch,coupling,dimension,chi,value
first,0.000,1,64,0.125
first,0.000,2,64,0.125
first,0.000,3,64,0.254
first,0.000,1,96,0.125
first,0.000,2,96,0.125
first,0.000,3,96,0.255
first,0.100,1,64,0.124
first,0.100,2,64,0.124
first,0.100,3,64,0.245
first,0.200,1,64,0.122
first,0.200,2,64,0.122
first,0.200,3,64,0.225
first,0.300,1,64,0.119
first,0.300,2,64,0.119
first,0.300,3,64,0.190
first,0.400,1,64,0.112
first,0.400,2,64,0.112
first,0.400,3,64,0.170
second,0.000,1,64,0.125
second,0.000,2,64,0.125
second,0.000,3,64,0.254
second,0.200,1,64,0.122
second,0.200,2,64,0.122
second,0.200,3,64,0.225
second,0.400,1,64,0.112
second,0.400,2,64,0.112
second,0.400,3,64,0.170
