branch,coupling,dimension,value,source
first,0.000,1,0.125,chi64-96
first,0.000,2,0.125,chi64-96
first,0.000,3,0.255,chi96
first,0.000,4,1.00,AT-ansatz
first,0.000,5,0.12,figure
first,0.100,3,0.245,chi64
first,0.100,4,0.98,AT-ansatz
first,0.100,5,0.12,figure
first,0.200,3,0.225,chi64
first,0.200,4,0.90,AT-ansatz
first,0.200,5,0.12,figure
first,0.300,3,0.190,chi64
first,0.300,4,0.72,AT-ansatz
first,0.300,5,0.12,figure
first,0.400,3,0.170,chi64
first,0.400,4,0.52,AT-ansatz
first,0.400,5,0.12,figure
first,0.130,5,0.92,chi64
first,0.130,5,0.82,chi48
second,0.000,3,0.255,chi96
second,0.200,3,0.225,chi64
second,0.400,3,0.170,chi64
