J0,x,mA
0.30,-0.200,0.90
0.30,-0.175,0.75
0.30,-0.160,0.50
0.30,-0.150,0.16
0.30,-0.140,0.05
0.30,-0.100,0.01
0.30,0.000,0.00
0.40,-0.140,0.92
0.40,-0.110,0.84
0.40,-0.095,0.45
0.40,-0.085,0.10
0.40,-0.050,0.01
0.40,0.050,0.00
0.50,-0.100,0.95
0.50,-0.070,0.90
0.50,-0.055,0.55
0.50,-0.045,0.12
0.50,0.000,0.01
0.50,0.050,0.00
0.60,-0.060,0.96
0.60,-0.035,0.92
0.60,-0.020,0.58
0.60,-0.010,0.10
0.60,0.020,0.01
0.60,0.080,0.00
0.70,-0.035,0.97
0.70,-0.015,0.94
0.70,-0.005,0.56
0.70,0.005,0.12
0.70,0.030,0.01
0.70,0.090,0.00
0.80,-0.020,0.98
0.80,-0.005,0.95
0.80,0.002,0.55
0.80,0.010,0.10
0.80,0.040,0.01
0.80,0.100,0.00
