coupling,x_log10_inv_L2,y_log10_Finf_minus_F
0.612965,-23.0,-8.20
0.612965,-20.0,-8.10
0.612965,-17.0,-7.45
0.612965,-15.0,-6.30
0.612965,-13.0,-5.25
0.612965,-11.0,-4.55
0.612965,-9.0,-3.85
0.612965,-7.0,-3.00
0.448669,-23.0,-7.55
0.448669,-20.0,-7.60
0.448669,-17.0,-7.45
0.448669,-15.0,-6.65
0.448669,-13.0,-5.50
0.448669,-11.0,-4.80
0.448669,-9.0,-4.05
0.448669,-7.0,-3.10
0.440618,-23.0,-8.00
0.440618,-20.0,-8.05
0.440618,-17.0,-7.50
0.440618,-15.0,-6.35
0.440618,-13.0,-5.20
0.440618,-11.0,-4.60
0.440618,-9.0,-3.90
0.440618,-7.0,-2.85
