chi,branch,coupling,c
16,first,0.000,0.98
16,first,0.200,0.97
16,first,0.400,0.90
16,first,0.500,0.55
16,first,0.600,0.00
24,first,0.000,0.96
24,first,0.200,0.95
24,first,0.400,0.90
24,first,0.500,0.82
24,first,0.600,0.48
32,first,0.000,0.97
32,first,0.200,0.96
32,first,0.33620,0.94
32,first,0.400,0.92
32,first,0.500,0.82
48,first,0.000,0.9774
48,first,0.22413,0.96
48,first,0.33620,0.9383
48,first,0.40344,0.90
48,first,0.600,0.50
16,second,0.000,0.98
16,second,0.200,0.97
16,second,0.400,0.90
16,second,0.500,0.55
16,second,0.600,0.00
48,second,0.000,0.9774
48,second,0.22413,0.96
48,second,0.33620,0.9383
48,second,0.40344,0.90
