J1,n,x1
0.000000,8,0.121
0.000000,12,0.121
0.000000,16,0.121
0.000000,20,0.121
0.000000,24,0.121
0.044820,8,0.120
0.044820,12,0.120
0.044820,16,0.120
0.044820,20,0.119
0.044820,24,0.118
0.089650,8,0.123
0.089650,12,0.123
0.089650,16,0.123
0.089650,20,0.121
0.089650,24,0.118
0.134480,8,0.123
0.134480,12,0.123
0.134480,16,0.123
0.134480,20,0.122
0.134480,24,0.118
0.179310,8,0.124
0.179310,12,0.124
0.179310,16,0.124
0.179310,20,0.123
0.179310,24,0.110
0.224130,8,0.123
0.224130,12,0.123
0.224130,16,0.123
0.224130,20,0.120
0.224130,24,0.000
0.268960,8,0.120
0.268960,12,0.120
0.268960,16,0.118
0.268960,20,0.100
0.268960,24,0.050
0.291370,8,0.117
0.291370,12,0.117
0.291370,16,0.115
0.291370,20,0.090
0.291370,24,0.010
0.313790,8,0.116
0.313790,12,0.116
0.313790,16,0.110
0.313790,20,0.060
0.313790,24,0.000
0.336200,8,0.115
0.336200,12,0.115
0.336200,16,0.090
0.336200,20,0.020
0.336200,24,0.000
