alpha,L,c_estimate
0.0000,20,0.500
0.1000,20,0.500
0.2000,20,0.500
0.3000,20,0.505
0.3500,20,0.515
0.4000,20,0.555
0.4200,20,0.595
0.4400,20,0.640
0.4600,20,0.685
0.4627,20,0.700
0.4700,20,0.610
0.4800,20,0.300
0.4900,20,0.000
0.0000,28,0.500
0.1000,28,0.500
0.2000,28,0.500
0.3000,28,0.505
0.3500,28,0.515
0.4000,28,0.545
0.4200,28,0.585
0.4400,28,0.630
0.4600,28,0.680
0.4627,28,0.700
0.4700,28,0.590
0.4800,28,0.250
0.4900,28,0.000
0.0000,36,0.500
0.1000,36,0.500
0.2000,36,0.500
0.3000,36,0.505
0.3500,36,0.515
0.4000,36,0.535
0.4200,36,0.575
0.4400,36,0.620
0.4600,36,0.675
0.4627,36,0.700
0.4700,36,0.570
0.4800,36,0.210
0.4900,36,0.000
0.0000,44,0.500
0.1000,44,0.500
0.2000,44,0.500
0.3000,44,0.505
0.3500,44,0.515
0.4000,44,0.530
0.4200,44,0.565
0.4400,44,0.610
0.4600,44,0.670
0.4627,44,0.700
0.4700,44,0.550
0.4800,44,0.180
0.4900,44,0.000
0.0000,52,0.500
0.1000,52,0.500
0.2000,52,0.500
0.3000,52,0.505
0.3500,52,0.515
0.4000,52,0.525
0.4200,52,0.555
0.4400,52,0.600
0.4600,52,0.665
0.4627,52,0.700
0.4700,52,0.530
0.4800,52,0.150
0.4900,52,0.000
