alpha,L,R1
0.0500,20,0.50
0.2000,20,0.52
0.3000,20,0.55
0.4000,20,0.70
0.4400,20,1.05
0.4500,20,1.55
0.4600,20,2.60
0.4628,20,3.50
0.4700,20,5.00
0.4800,20,8.50
0.0500,30,0.50
0.2000,30,0.51
0.3000,30,0.54
0.4000,30,0.66
0.4400,30,0.98
0.4500,30,1.40
0.4600,30,2.50
0.4628,30,3.50
0.4700,30,4.80
0.4800,30,7.00
0.0500,40,0.50
0.2000,40,0.51
0.3000,40,0.53
0.4000,40,0.63
0.4400,40,0.92
0.4500,40,1.30
0.4600,40,2.35
0.4628,40,3.50
0.4700,40,4.60
0.4800,40,6.50
0.0500,50,0.50
0.2000,50,0.51
0.3000,50,0.53
0.4000,50,0.61
0.4400,50,0.88
0.4500,50,1.22
0.4600,50,2.20
0.4628,50,3.50
0.4700,50,4.40
0.4800,50,6.00
