alpha,L,R2
0.0500,20,0.125
0.2000,20,0.128
0.3000,20,0.132
0.4000,20,0.155
0.4400,20,0.205
0.4500,20,0.255
0.4600,20,0.330
0.4628,20,0.375
0.4700,20,0.415
0.4800,20,0.450
0.0500,30,0.125
0.2000,30,0.127
0.3000,30,0.130
0.4000,30,0.150
0.4400,30,0.195
0.4500,30,0.245
0.4600,30,0.320
0.4628,30,0.375
0.4700,30,0.405
0.4800,30,0.440
0.0500,40,0.125
0.2000,40,0.126
0.3000,40,0.129
0.4000,40,0.145
0.4400,40,0.188
0.4500,40,0.235
0.4600,40,0.310
0.4628,40,0.375
0.4700,40,0.395
0.4800,40,0.430
0.0500,50,0.125
0.2000,50,0.126
0.3000,50,0.128
0.4000,50,0.140
0.4400,50,0.180
0.4500,50,0.225
0.4600,50,0.300
0.4628,50,0.375
0.4700,50,0.385
0.4800,50,0.420
