alpha,L,R3
0.0500,20,1.125
0.2000,20,1.140
0.3000,20,1.180
0.4000,20,1.500
0.4400,20,2.20
0.4500,20,2.90
0.4600,20,3.80
0.4628,20,4.375
0.4700,20,5.50
0.4800,20,8.50
0.0500,30,1.125
0.2000,30,1.135
0.3000,30,1.170
0.4000,30,1.450
0.4400,30,2.05
0.4500,30,2.70
0.4600,30,3.65
0.4628,30,4.375
0.4700,30,5.20
0.4800,30,7.60
0.0500,40,1.125
0.2000,40,1.130
0.3000,40,1.160
0.4000,40,1.400
0.4400,40,1.95
0.4500,40,2.55
0.4600,40,3.50
0.4628,40,4.375
0.4700,40,4.95
0.4800,40,7.00
0.0500,50,1.125
0.2000,50,1.130
0.3000,50,1.150
0.4000,50,1.350
0.4400,50,1.85
0.4500,50,2.40
0.4600,50,3.35
0.4628,50,4.375
0.4700,50,4.75
0.4800,50,6.50
