subpanel,L,series,value
4a,4,projected_triplet_Aprime,0.6283
4a,8,projected_triplet_Aprime,0.8899
4a,12,projected_triplet_Aprime,0.9431
4a,16,projected_triplet_Aprime,0.9632
4a,24,projected_triplet_Aprime,0.9801
4a,4,unprojected_triplet_A,0.3597
4a,8,unprojected_triplet_A,0.5953
4a,12,unprojected_triplet_A,0.7066
4a,16,unprojected_triplet_A,0.7698
4a,24,unprojected_triplet_A,0.8386
4a,40,unprojected_triplet_A,0.8979
4a,60,unprojected_triplet_A,0.9291
4a,80,unprojected_triplet_A,0.9450
4b,4,projected_triplet_k1prime,-0.33981
4b,8,projected_triplet_k1prime,-0.33686
4b,12,projected_triplet_k1prime,-0.33632
4b,16,projected_triplet_k1prime,-0.33625
4b,24,projected_triplet_k1prime,-0.33633
4b,4,unprojected_triplet_k1,-0.34814
4b,8,unprojected_triplet_k1,-0.34125
4b,12,unprojected_triplet_k1,-0.33864
4b,16,unprojected_triplet_k1,-0.33763
4b,24,unprojected_triplet_k1,-0.33687
4b,40,unprojected_triplet_k1,-0.33653
4b,60,unprojected_triplet_k1,-0.33635
4b,80,unprojected_triplet_k1,-0.33630
4c,4,projected_triplet_k2prime,0.33731
4c,8,projected_triplet_k2prime,0.33389
4c,12,projected_triplet_k2prime,0.33334
4c,16,projected_triplet_k2prime,0.33337
4c,24,projected_triplet_k2prime,0.33336
4c,4,unprojected_triplet_k2,0.34744
4c,8,unprojected_triplet_k2,0.33918
4c,12,unprojected_triplet_k2,0.33605
4c,16,unprojected_triplet_k2,0.33483
4c,24,unprojected_triplet_k2,0.33388
4c,40,unprojected_triplet_k2,0.33344
4c,60,unprojected_triplet_k2,0.33329
4c,80,unprojected_triplet_k2,0.33328
4d,6,projected_singlet_Aprime,0.7591
4d,8,projected_singlet_Aprime,0.8673
4d,12,projected_singlet_Aprime,0.9325
4d,16,projected_singlet_Aprime,0.9577
4d,24,projected_singlet_Aprime,0.9771
4d,6,unprojected_singlet_A,0.5403
4d,8,unprojected_singlet_A,0.5964
4d,12,unprojected_singlet_A,0.7077
4d,16,unprojected_singlet_A,0.7709
4d,24,unprojected_singlet_A,0.8397
4d,40,unprojected_singlet_A,0.8990
4d,60,unprojected_singlet_A,0.9264
4d,80,unprojected_singlet_A,0.9461
4e,6,projected_singlet_k1prime,-0.32818
4e,8,projected_singlet_k1prime,-0.33059
4e,12,projected_singlet_k1prime,-0.33252
4e,16,projected_singlet_k1prime,-0.33283
4e,24,projected_singlet_k1prime,-0.33340
4e,6,unprojected_singlet_k1,-0.34576
4e,8,unprojected_singlet_k1,-0.33905
4e,12,unprojected_singlet_k1,-0.33640
4e,16,unprojected_singlet_k1,-0.33537
4e,24,unprojected_singlet_k1,-0.33460
4e,40,unprojected_singlet_k1,-0.33403
4e,60,unprojected_singlet_k1,-0.33406
4e,80,unprojected_singlet_k1,-0.33403
4f,6,projected_singlet_k2prime,-0.16278
4f,8,projected_singlet_k2prime,-0.16500
4f,12,projected_singlet_k2prime,-0.16729
4f,16,projected_singlet_k2prime,-0.16799
4f,24,projected_singlet_k2prime,-0.16802
4f,6,unprojected_singlet_k2,-0.14270
4f,8,unprojected_singlet_k2,-0.14905
4f,12,unprojected_singlet_k2,-0.15979
4f,16,unprojected_singlet_k2,-0.16348
4f,24,unprojected_singlet_k2,-0.16606
4f,40,unprojected_singlet_k2,-0.16735
4f,60,unprojected_singlet_k2,-0.16775
4f,80,unprojected_singlet_k2,-0.16789
