L,series,value
4,projected_triplet_A,0.63
6,projected_triplet_A,0.83
8,projected_triplet_A,0.90
10,projected_triplet_A,0.93
12,projected_triplet_A,0.95
16,projected_triplet_A,0.97
20,projected_triplet_A,0.98
24,projected_triplet_A,0.99
4,unprojected_triplet_A,0.36
6,unprojected_triplet_A,0.55
8,unprojected_triplet_A,0.61
10,unprojected_triplet_A,0.70
12,unprojected_triplet_A,0.74
16,unprojected_triplet_A,0.81
20,unprojected_triplet_A,0.85
24,unprojected_triplet_A,0.88
28,unprojected_triplet_A,0.90
32,unprojected_triplet_A,0.92
36,unprojected_triplet_A,0.93
40,unprojected_triplet_A,0.94
50,unprojected_triplet_A,0.95
58,unprojected_triplet_A,0.96
70,unprojected_triplet_A,0.97
78,unprojected_triplet_A,0.97
