L,series,value
4,projected_triplet_k1,-0.3385
6,projected_triplet_k1,-0.3343
8,projected_triplet_k1,-0.3343
10,projected_triplet_k1,-0.3336
12,projected_triplet_k1,-0.3336
16,projected_triplet_k1,-0.3333
20,projected_triplet_k1,-0.3332
24,projected_triplet_k1,-0.3331
4,unprojected_triplet_k1,-0.3500
6,unprojected_triplet_k1,-0.3496
8,unprojected_triplet_k1,-0.3400
10,unprojected_triplet_k1,-0.3384
12,unprojected_triplet_k1,-0.3363
16,unprojected_triplet_k1,-0.3349
20,unprojected_triplet_k1,-0.3343
24,unprojected_triplet_k1,-0.3340
28,unprojected_triplet_k1,-0.3338
32,unprojected_triplet_k1,-0.3336
36,unprojected_triplet_k1,-0.3336
40,unprojected_triplet_k1,-0.3335
50,unprojected_triplet_k1,-0.3333
58,unprojected_triplet_k1,-0.3333
70,unprojected_triplet_k1,-0.3332
78,unprojected_triplet_k1,-0.3332
