L,series,value
4,projected_triplet_k2,0.3377
6,projected_triplet_k2,0.3343
8,projected_triplet_k2,0.3339
10,projected_triplet_k2,0.3336
12,projected_triplet_k2,0.3335
16,projected_triplet_k2,0.3333
20,projected_triplet_k2,0.3333
24,projected_triplet_k2,0.3333
4,unprojected_triplet_k2,0.3490
6,unprojected_triplet_k2,0.3487
8,unprojected_triplet_k2,0.3390
10,unprojected_triplet_k2,0.3375
12,unprojected_triplet_k2,0.3350
16,unprojected_triplet_k2,0.3339
20,unprojected_triplet_k2,0.3337
24,unprojected_triplet_k2,0.3335
28,unprojected_triplet_k2,0.3335
32,unprojected_triplet_k2,0.3334
36,unprojected_triplet_k2,0.3334
40,unprojected_triplet_k2,0.3334
50,unprojected_triplet_k2,0.3334
58,unprojected_triplet_k2,0.3333
70,unprojected_triplet_k2,0.3333
78,unprojected_triplet_k2,0.3333
