L,series,value
6,projected_singlet_A,0.68
8,projected_singlet_A,0.82
10,projected_singlet_A,0.85
12,projected_singlet_A,0.91
16,projected_singlet_A,0.95
20,projected_singlet_A,0.96
24,projected_singlet_A,0.97
6,unprojected_singlet_A,0.44
8,unprojected_singlet_A,0.52
10,unprojected_singlet_A,0.65
12,unprojected_singlet_A,0.70
16,unprojected_singlet_A,0.78
20,unprojected_singlet_A,0.83
24,unprojected_singlet_A,0.86
28,unprojected_singlet_A,0.88
32,unprojected_singlet_A,0.90
36,unprojected_singlet_A,0.91
40,unprojected_singlet_A,0.92
50,unprojected_singlet_A,0.94
58,unprojected_singlet_A,0.95
70,unprojected_singlet_A,0.96
