L,series,value
6,projected_singlet_k1,-0.3280
8,projected_singlet_k1,-0.3300
10,projected_singlet_k1,-0.3310
12,projected_singlet_k1,-0.3320
16,projected_singlet_k1,-0.3325
20,projected_singlet_k1,-0.3329
24,projected_singlet_k1,-0.3327
6,unprojected_singlet_k1,-0.3420
8,unprojected_singlet_k1,-0.3375
10,unprojected_singlet_k1,-0.3365
12,unprojected_singlet_k1,-0.3350
16,unprojected_singlet_k1,-0.3343
20,unprojected_singlet_k1,-0.3338
24,unprojected_singlet_k1,-0.3337
28,unprojected_singlet_k1,-0.3336
32,unprojected_singlet_k1,-0.3335
36,unprojected_singlet_k1,-0.3335
40,unprojected_singlet_k1,-0.3334
50,unprojected_singlet_k1,-0.3333
58,unprojected_singlet_k1,-0.3333
70,unprojected_singlet_k1,-0.3333
