L,series,value
6,projected_singlet_k2,-0.1620
8,projected_singlet_k2,-0.1640
10,projected_singlet_k2,-0.1655
12,projected_singlet_k2,-0.1660
16,projected_singlet_k2,-0.1665
20,projected_singlet_k2,-0.1667
24,projected_singlet_k2,-0.1667
6,unprojected_singlet_k2,-0.1470
8,unprojected_singlet_k2,-0.1510
10,unprojected_singlet_k2,-0.1590
12,unprojected_singlet_k2,-0.1590
16,unprojected_singlet_k2,-0.1620
20,unprojected_singlet_k2,-0.1640
24,unprojected_singlet_k2,-0.1650
28,unprojected_singlet_k2,-0.1655
32,unprojected_singlet_k2,-0.1660
36,unprojected_singlet_k2,-0.1662
40,unprojected_singlet_k2,-0.1664
50,unprojected_singlet_k2,-0.1666
58,unprojected_singlet_k2,-0.1667
70,unprojected_singlet_k2,-0.1667
