panel,L,Q,value
upper,12,2,0.746
upper,12,3,1.293
upper,12,4,1.870
upper,12,5,2.472
upper,12,6,3.222
upper,12,7,3.784
upper,12,8,4.645
upper,12,9,5.472
upper,16,2,0.616
upper,16,3,1.018
upper,16,4,1.521
upper,16,5,2.045
upper,16,6,2.637
upper,16,7,3.151
upper,16,8,3.905
upper,16,9,4.354
upper,20,2,0.548
upper,20,3,0.864
upper,20,4,1.278
upper,20,5,1.754
upper,20,6,2.229
upper,20,7,2.816
upper,20,8,3.291
upper,20,9,3.766
upper,24,2,0.466
upper,24,3,0.756
upper,24,4,1.115
upper,24,5,1.519
upper,24,6,1.933
upper,24,7,2.377
upper,24,8,2.880
upper,24,9,3.379
upper,28,2,0.362
upper,28,3,0.640
upper,28,4,0.972
upper,28,5,1.310
upper,28,6,1.690
upper,28,7,2.110
upper,28,8,2.590
upper,28,9,3.011
scaled,12,2,2.148
scaled,12,3,3.724
scaled,12,4,5.386
scaled,12,5,7.119
scaled,12,6,9.279
scaled,12,7,10.898
scaled,12,8,13.378
scaled,12,9,15.759
scaled,16,2,2.365
scaled,16,3,3.909
scaled,16,4,5.841
scaled,16,5,7.853
scaled,16,6,10.126
scaled,16,7,12.100
scaled,16,8,14.995
scaled,16,9,16.719
scaled,20,2,2.630
scaled,20,3,4.147
scaled,20,4,6.134
scaled,20,5,8.419
scaled,20,6,10.699
scaled,20,7,13.517
scaled,20,8,15.797
scaled,20,9,18.077
scaled,24,2,2.684
scaled,24,3,4.355
scaled,24,4,6.422
scaled,24,5,8.749
scaled,24,6,11.134
scaled,24,7,13.692
scaled,24,8,16.589
scaled,24,9,19.463
scaled,28,2,2.433
scaled,28,3,4.301
scaled,28,4,6.532
scaled,28,5,8.803
scaled,28,6,11.357
scaled,28,7,14.179
scaled,28,8,17.405
scaled,28,9,20.234
