Q,L,series,value
1,12,L12,0.79
2,12,L12,1.15
3,12,L12,1.66
4,12,L12,2.19
5,12,L12,2.75
6,12,L12,3.44
7,12,L12,3.96
8,12,L12,4.75
9,12,L12,5.52
1,16,L16,0.74
2,16,L16,1.04
3,16,L16,1.41
4,16,L16,1.87
5,16,L16,2.35
6,16,L16,2.90
7,16,L16,3.37
8,16,L16,4.07
9,16,L16,4.48
3,20,L20,1.26
4,20,L20,1.65
5,20,L20,2.08
6,20,L20,2.52
8,20,L20,3.50
9,20,L20,3.94
4,24,L24,1.49
5,24,L24,1.87
7,24,L24,2.65
8,24,L24,3.12
9,24,L24,3.59
2,28,L28,0.80
3,28,L28,1.06
4,28,L28,1.36
5,28,L28,1.68
6,28,L28,2.03
7,28,L28,2.41
8,28,L28,2.86
9,28,L28,3.24
