q,S_vmc,S_dmrg,q2_over_S_vmc,q2_over_S_dmrg
0.000,0.000,0.000,,
0.500,0.0012,0.0012,208.3,208.3
1.000,0.0040,0.0039,250.0,256.4
1.500,0.0075,0.0074,300.0,304.1
2.000,0.0115,0.0113,347.8,354.0
2.500,0.0155,0.0152,403.2,411.2
3.000,0.0185,0.0182,486.5,494.5
3.1416,0.0195,0.0192,505.6,514.9
3.500,0.0185,0.0182,661.8,673.1
4.000,0.0155,0.0152,1032.3,1052.6
4.500,0.0115,0.0113,1760.9,1791.2
5.000,0.0075,0.0074,3333.3,3378.4
5.500,0.0040,0.0039,7562.5,7820.5
6.000,0.0012,0.0012,30000.0,30000.0
6.2832,0.000,0.000,,

