# Coarse visual digitization from Fig. 2; values are for pattern checking.
panel,i,Sx,Sy
fig2_M_magnetization,80,0.49,0.02
fig2_M_magnetization,82,-0.39,0.02
fig2_M_magnetization,84,0.49,0.02
fig2_M_magnetization,86,-0.39,0.02
fig2_M_magnetization,88,0.49,0.02
fig2_M_magnetization,90,-0.39,0.02
fig2_C_magnetization,80,0.46,0.08
fig2_C_magnetization,82,-0.38,0.16
fig2_C_magnetization,84,0.46,0.08
fig2_C_magnetization,86,-0.38,0.25
fig2_C_magnetization,88,0.46,0.08
fig2_C_magnetization,90,-0.38,0.25
fig2_B_magnetization,80,0.23,0.08
fig2_B_magnetization,82,0.08,0.25
fig2_B_magnetization,84,0.22,0.10
fig2_B_magnetization,90,0.18,0.18
fig2_B_magnetization,100,0.17,0.17
fig2_B_magnetization,110,0.22,0.10
fig2_PS_magnetization,80,0.13,0.32
fig2_PS_magnetization,90,0.13,0.32
fig2_PS_magnetization,100,0.13,0.32
fig2_PS_magnetization,110,0.13,0.32
