# Coarse visual digitization from Fig. 7; transition angles are text-stated.
panel,phi_xy_deg,M_tau_abs,xi_tau_abs
fig7a_effective_order_parameters_low,0.0,0.50,0.00
fig7a_effective_order_parameters_low,0.4,0.49,0.00
fig7a_effective_order_parameters_low,0.7,0.47,0.00
fig7a_effective_order_parameters_low,0.9,0.10,0.00
fig7a_effective_order_parameters_low,1.0,0.02,0.00
fig7a_effective_order_parameters_low,1.2,0.00,0.00
fig7b_effective_order_parameters_high,0.0,0.50,0.00
fig7b_effective_order_parameters_high,0.5,0.49,0.00
fig7b_effective_order_parameters_high,0.8,0.45,0.08
fig7b_effective_order_parameters_high,1.0,0.37,0.35
fig7b_effective_order_parameters_high,1.03,0.35,0.39
fig7b_effective_order_parameters_high,1.1,0.20,0.48
fig7b_effective_order_parameters_high,1.2,0.05,0.58
