panel,j2_over_j1,k_over_pi,feature,omega_over_j1
a,0.0,1.0,single_magnon,2.6
a,0.0,1.0,two_magnon_lower,1.8
a,0.0,1.0,two_magnon_upper,3.2
b,0.2,1.0,single_magnon,2.2
b,0.2,1.0,two_magnon_lower,1.5
b,0.2,1.0,two_magnon_upper,2.9
c,0.35,1.0,single_magnon,1.9
c,0.35,1.0,two_magnon_lower,1.2
c,0.35,1.0,two_magnon_upper,2.6
d,0.43,1.0,single_magnon,1.7
d,0.43,1.0,two_magnon_lower,1.1
d,0.43,1.0,two_magnon_upper,2.4
e,0.5,1.0,single_magnon,1.5
e,0.5,1.0,two_magnon_lower,1.0
e,0.5,1.0,two_magnon_upper,2.2
f,0.6,1.0,single_magnon,1.3
f,0.6,1.0,two_magnon_lower,0.9
f,0.6,1.0,two_magnon_upper,2.0
