# Inferred digitization from the local Fig. 2(b) trajectories.
case,initial_state,m,g2,t,I_t,DE_reference
ergodic,GI,1,1,0,1.00,0.00
ergodic,GI,1,1,10,0.10,0.00
ergodic,GI,1,1,100,0.00,0.00
ergodic,GI,1,1,500,0.00,0.00
ergodic,GI,1,1,1000,0.00,0.00
ergodic,SS,1,1,0,1.00,0.00
ergodic,SS,1,1,10,0.10,0.00
ergodic,SS,1,1,100,0.00,0.00
ergodic,SS,1,1,500,0.00,0.00
ergodic,SS,1,1,1000,0.00,0.00
DFL,GI,10,10,0,1.00,0.00
DFL,GI,10,10,10,0.05,0.00
DFL,GI,10,10,100,0.00,0.00
DFL,GI,10,10,500,0.00,0.00
DFL,GI,10,10,1000,0.00,0.00
DFL,SS,10,10,0,1.00,0.24
DFL,SS,10,10,10,0.65,0.24
DFL,SS,10,10,100,0.34,0.24
DFL,SS,10,10,500,0.27,0.24
DFL,SS,10,10,1000,0.25,0.24
HSF,GI,10,2,0,1.00,0.00
HSF,GI,10,2,100,0.03,0.00
HSF,GI,10,2,250,-0.04,0.00
HSF,GI,10,2,500,-0.15,0.00
HSF,GI,10,2,750,-0.08,0.00
HSF,GI,10,2,1000,0.06,0.00
HSF,SS,10,2,0,1.00,0.06
HSF,SS,10,2,100,0.18,0.06
HSF,SS,10,2,250,0.09,0.06
HSF,SS,10,2,500,0.07,0.06
HSF,SS,10,2,750,0.06,0.06
HSF,SS,10,2,1000,0.06,0.06

