# Inferred digitization from the local Fig. S1 comparison.
g2,model,t,imbalance
1,effective,0,1.00
1,effective,10,0.05
1,effective,20,0.00
1,effective,50,0.00
1,effective,100,0.00
1,SU2,0,1.00
1,SU2,10,0.05
1,SU2,20,0.00
1,SU2,50,0.00
1,SU2,100,0.00
10,effective,0,1.00
10,effective,10,-0.15
10,effective,20,-0.30
10,effective,50,0.10
10,effective,100,0.00
10,SU2,0,1.00
10,SU2,10,-0.10
10,SU2,20,-0.20
10,SU2,50,0.00
10,SU2,100,0.00
20,effective,0,1.00
20,effective,10,0.75
20,effective,20,0.40
20,effective,50,-0.25
20,effective,80,-0.75
20,effective,100,-0.10
20,SU2,0,1.00
20,SU2,10,0.75
20,SU2,20,0.42
20,SU2,50,-0.28
20,SU2,80,-0.72
20,SU2,100,-0.12

