# Inferred digitization from the local Fig. S2 spectrum and dynamics.
component,x,value
overlap,-75,0.0000001
overlap,-50,0.00001
overlap,-25,0.001
overlap,0,0.0001
overlap,25,0.00001
overlap,50,0.000001
overlap,75,0.0000001
eigenstate_entropy,-75,0.2
eigenstate_entropy,-50,2.5
eigenstate_entropy,-25,4.0
eigenstate_entropy,0,4.5
eigenstate_entropy,25,4.0
eigenstate_entropy,50,3.2
eigenstate_entropy,75,1.5
fidelity,0,1.0
fidelity,100,0.6
fidelity,200,0.1
fidelity,300,0.25
fidelity,400,0.1
fidelity,500,0.2
dynamics_entropy,0,0.0
dynamics_entropy,100,3.6
dynamics_entropy,200,3.3
dynamics_entropy,300,3.5
dynamics_entropy,400,3.2
dynamics_entropy,500,3.0

