# Approximate digitization from the local Fig. S6(c) image; tolerances are in schema.toml.
Jt,Re_exact,Re_markovian,Re_K1,Re_K3,Im_exact,Im_markovian,Im_K1,Im_K3
0,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
1,0.95,0.98,0.98,0.98,-0.05,0.00,-0.02,-0.04
2,0.43,0.45,0.50,0.45,-0.35,0.00,-0.30,-0.35
2.5,0.13,0.15,0.12,0.14,-0.55,0.00,-0.48,-0.55
3,0.06,0.12,0.08,0.07,-0.25,0.00,-0.20,-0.27
4,0.10,0.09,0.05,0.10,0.08,0.00,0.02,0.08
5,0.19,0.07,0.04,0.18,0.20,0.00,0.12,0.20
6,0.25,0.06,0.05,0.25,0.22,0.00,0.18,0.22
7,0.28,0.05,0.05,0.27,0.12,0.00,0.08,0.13
8,0.25,0.04,0.04,0.25,-0.05,0.00,-0.02,-0.06
9,0.18,0.03,0.03,0.18,-0.25,0.00,-0.18,-0.24
10,0.22,0.02,0.03,0.21,-0.10,0.00,-0.07,-0.11
