# Inferred digitization from Fig. 2; values are approximate and tolerance is recorded in schema.toml.
N,l_A,S2
0.4,1,-0.55
0.4,8,-0.98
0.4,16,-1.09
0.4,24,-1.12
0.4,32,-1.09
0.4,40,-0.98
0.4,47,-0.56
0.6,1,0.02
0.6,8,-0.18
0.6,16,-0.26
0.6,24,-0.28
0.6,32,-0.26
0.6,40,-0.18
0.6,47,0.02
0.8,1,0.28
0.8,8,0.35
0.8,16,0.36
0.8,24,0.36
0.8,32,0.36
0.8,40,0.35
0.8,47,0.28
1.0,1,1.00
1.0,12,1.00
1.0,24,1.00
1.0,36,1.00
1.0,47,1.00
1.2,1,1.40
1.2,12,1.48
1.2,24,1.50
1.2,36,1.48
1.2,47,1.40
1.6,1,2.15
1.6,12,2.35
1.6,24,2.39
1.6,36,2.35
1.6,47,2.10
2.0,1,2.75
2.0,12,3.15
2.0,24,3.25
2.0,36,3.15
2.0,47,2.70
2.4,1,3.25
2.4,12,3.85
2.4,24,3.98
2.4,36,3.85
2.4,47,3.25
3.0,1,4.05
3.0,12,4.75
3.0,24,4.90
3.0,36,4.75
3.0,47,4.00
3.6,1,4.75
3.6,12,5.55
3.6,24,5.80
3.6,36,5.55
3.6,47,4.70
