# Inferred digitization from Fig. 3(a,b); exact tabulated c(L) values are in truth_table_II.csv.
N,L,c_L
1.4,16,0.485
1.4,32,0.485
1.4,48,0.485
1.4,64,0.485
1.6,16,0.680
1.6,32,0.683
1.6,48,0.683
1.6,64,0.683
1.8,16,0.850
1.8,32,0.856
1.8,48,0.856
1.8,64,0.856
2.0,16,0.990
2.0,32,0.994
2.0,48,0.994
2.0,64,0.994
2.2,16,1.115
2.2,32,1.117
2.2,48,1.117
2.2,64,1.117
2.4,16,1.225
2.4,32,1.213
2.4,48,1.213
2.4,64,1.213
2.6,24,1.2999(8)
2.6,48,1.287(2)
2.6,80,1.247(4)
2.8,24,1.3682(9)
2.8,48,1.315(3)
2.8,80,1.208(7)
3.0,20,1.4580(4)
3.0,48,1.289(3)
3.0,72,1.130(8)
3.2,20,1.5090(8)
3.2,48,1.213(3)
3.2,72,0.909(8)
3.4,20,1.545(1)
3.4,48,1.093(3)
3.4,72,1.161(4)
3.6,20,1.567(1)
3.6,40,1.114(3)
3.6,44,1.005(4)
