# Inferred digitization from Fig. 5. Values are representative samples of the plotted curves.
L,update,l_A,S2
48,without,1,1.03
48,without,8,1.55
48,without,16,1.82
48,without,24,1.72
48,without,32,1.86
48,without,40,1.55
48,without,47,1.02
48,with,1,1.00
48,with,8,1.52
48,with,16,1.77
48,with,24,1.84
48,with,32,1.78
48,with,40,1.55
48,with,47,1.00
64,without,1,1.03
64,without,10,1.58
64,without,20,1.78
64,without,32,1.74
64,without,44,1.70
64,without,60,1.30
64,without,63,1.02
64,with,1,1.00
64,with,10,1.57
64,with,20,1.86
64,with,32,1.98
64,with,44,1.82
64,with,60,1.36
64,with,63,1.00
