# Inferred digitization from Fig. 6.
N,beta_over_NL,S2
0.4,0.25,-1.380
0.4,0.5,-1.327
0.4,0.75,-1.303
0.4,1.0,-1.289
0.4,1.5,-1.274
0.4,2.0,-1.263
0.4,3.0,-1.258
0.4,4.0,-1.256
0.8,0.25,-0.347
0.8,0.5,-0.329
0.8,0.75,-0.318
0.8,1.0,-0.312
0.8,1.5,-0.306
0.8,2.0,-0.304
0.8,3.0,-0.303
0.8,4.0,-0.303
1.6,0.25,0.692
1.6,0.5,0.660
1.6,0.75,0.640
1.6,1.0,0.630
1.6,1.5,0.622
1.6,2.0,0.618
1.6,3.0,0.616
1.6,4.0,0.615
2.0,0.25,0.985
2.0,0.5,0.941
2.0,0.75,0.932
2.0,1.0,0.929
2.0,1.5,0.930
2.0,2.0,0.930
2.0,3.0,0.931
2.0,4.0,0.931
3.0,0.25,1.371
3.0,0.5,1.343
3.0,0.75,1.335
3.0,1.0,1.332
3.0,1.5,1.331
3.0,2.0,1.331
3.0,3.0,1.331
3.0,4.0,1.331
3.6,0.25,1.471
3.6,0.5,1.454
3.6,0.75,1.450
3.6,1.0,1.449
3.6,1.5,1.449
3.6,2.0,1.449
3.6,3.0,1.449
3.6,4.0,1.449
