# Inferred digitization from Fig. 8.
N,l_A,S2
0.2,1,-1.75
0.2,8,-2.25
0.2,20,-2.48
0.2,28,-2.50
0.2,40,-2.25
0.2,47,-1.75
0.8,1,-0.23
0.8,8,-0.34
0.8,20,-0.39
0.8,28,-0.40
0.8,40,-0.34
0.8,47,-0.23
1.4,1,0.34
1.4,8,0.52
1.4,20,0.62
1.4,28,0.63
1.4,40,0.52
1.4,47,0.34
2.0,1,0.70
2.0,8,1.05
2.0,20,1.20
2.0,28,1.23
2.0,40,1.05
2.0,47,0.70
2.6,1,0.90
2.6,8,1.45
2.6,20,1.67
2.6,28,1.68
2.6,40,1.45
2.6,47,0.90
3.0,1,0.90
3.0,8,1.52
3.0,20,1.87
3.0,28,1.92
3.0,40,1.52
3.0,47,0.90
3.6,1,0.98
3.6,8,1.62
3.6,20,2.10
3.6,28,2.13
3.6,40,1.62
3.6,47,0.98
4.0,1,1.00
4.0,8,1.60
4.0,20,2.10
4.0,28,2.15
4.0,40,1.60
4.0,47,1.00
