# Literal transcription of Table II. Source-table typos are retained in c_L.
N,L,c_L
2.6,24,1.2999(8)
2.6,28,1.2992(7)
2.6,32,1.300(1)
2.6,40,1.290(2)
2.6,48,1.287(2)
2.6,56,1.276(3)
2.6,64,1.263(3)
2.6,72,1.258(4)
2.6,80,1.247(4)
2.8,24,1.3682(9)
2.8,28,1.3643(9)
2.8,32,1.355(1)
2.8,40,1.336(2)
2.8,48,1.315(3)
2.8,56,1.289(3)
2.8,64,1.265(4)
2.8,72,1.238(5)
2.8,80,1.208(7)
3.0,20,1.4580(4)
3.0,24,1.425(1)
3.0,28,1.411(3)
3.0,32,1.384(1)
3.0,40,1.337(2)
3.0,48,1.289(3)
3.0,56,1.235(4)
3.0,64,1.179(5)
3.0,72,1.130(8)
3.2,20,1.5090(8)
3.2,24,1.457(1)
3.2,28,1.430(1)
3.2,32,1.383(1)
3.2,40,1.304(2)
3.2,48,1.213(3)
3.2,56,1.117(4)
3.2,64,1.023(5)
3.2,72,0.909(8)
3.4,20,1.545(1)
3.4,24,1.472(1)
3.4,28,1.430(3)
3.4,32,1.359(2)
3.4,36,1.304(3)
3.4,40,1.22092)
3.4,44,1.161(4)
3.4,48,1.093(3)
3.6,20,1.567(1)
3.6,24,1.466(1)
3.6,28,1.40291)
3.6,32,1.297(2)
3.6,36,1.222(3)
3.6,40,1.114(3)
3.6,44,1.005(4)
