energy_E_over_J,S_alpha
-38.8904809,0.766860778
-37.8370232,0.75636587
-37.1767582,0.658534741
-36.4831994,0.982078771
-32.2822566,1.77213381
-29.9591149,2.03991706
-28.4106839,2.1740101
-27.2648742,2.30524912
-26.2536508,2.43040665
-25.4488566,2.4658837
-24.663694,2.50636873
-23.9793674,2.60398939
-23.370986,2.67796091
-22.7809135,2.63373734
-22.2926769,2.70663705
-21.7164004,2.72338065
-21.2251897,2.80223467
-20.8039842,2.84049975
-20.3764376,2.85089143
-19.9688147,2.88060388
-19.5519746,2.91513821
-19.1769006,2.93664545
-18.8106112,2.93521732
-18.4931727,2.96382546
-18.1418031,2.98996404
-17.7989776,3.02605706
-17.4788973,3.05543019
-17.1645127,3.04304973
-16.8633842,3.02640012
-16.5728385,3.01993041
-16.2829539,3.09653388
-16.0028049,3.14104879
-15.7251763,3.14276215
-15.4577889,3.1267942
-15.1781167,3.19394473
-14.9156379,3.16632635
-14.6758671,3.20052868
-14.412171,3.196998
-14.1475586,3.18346543
-13.9129337,3.21408243
-13.6732163,3.19043254
-13.4280446,3.2321281
-13.2070952,3.24819543
-12.9785602,3.25034422
-12.7550807,3.25225299
-12.5221885,3.28873032
-12.3054132,3.30095959
-12.1005832,3.29874309
-11.8929939,3.28467695
-11.6722561,3.31691431
-11.4622814,3.33622984
-11.2607727,3.35966142
-11.0586558,3.36251128
-10.8535485,3.34560889
-10.6444235,3.33854682
-10.4456316,3.39715211
-10.2542843,3.35845005
-10.0735425,3.37878058
-9.87729009,3.35499268
-9.68371037,3.40914555
-9.50302491,3.41807021
-9.30670924,3.40460267
-9.1245954,3.41803658
-8.94199643,3.42028285
-8.7594649,3.43666879
-8.58971179,3.43223732
-8.40240383,3.4366297
-8.22473045,3.43748516
-8.04285827,3.45457846
-7.88490919,3.44723751
-7.70708773,3.45530539
-7.51581962,3.44157382
-7.34639364,3.45603252
-7.17079322,3.48077051
-7.00267622,3.47964074
-6.82999561,3.49256119
-6.65507174,3.48702157
-6.48362748,3.49462708
-6.33062804,3.48887582
-6.16124136,3.51122203
-5.99013335,3.50805557
-5.84192929,3.49447445
-5.67282331,3.50738948
-5.51445139,3.5316412
-5.34136604,3.52599428
-5.19458558,3.48600671
-5.02940925,3.51973626
-4.86500211,3.51935335
-4.69557941,3.54351164
-4.53917947,3.5133954
-4.37827654,3.54844633
-4.22314258,3.56276465
-4.06147522,3.53510322
-3.91110315,3.54418929
-3.75679119,3.54708557
-3.59647904,3.55719421
-3.44708824,3.5509196
-3.29134417,3.56958556
-3.14283557,3.58245172
-2.98664903,3.54606015
-2.84552493,3.537739
-2.68059432,3.56491179
-2.52155963,3.55417788
-2.37120351,3.58491489
-2.21767578,3.56967744
-2.06706305,3.57644991
-1.91605083,3.57764469
-1.76808811,3.56955814
-1.60854986,3.59532905
-1.46647019,3.59770667
-1.3133709,3.57961925
-1.16150816,3.57793707
-1.01681334,3.57266347
-0.865902533,3.59728978
-0.716782388,3.57715562
-0.56961238,3.61207421
-0.422303978,3.58102787
-0.276435588,3.56950239
-0.127948403,3.60529327
0.0245231843,3.61724044
0.163043121,3.58445182
0.313427379,3.61620313
0.470488186,3.60775578
0.620204434,3.60272416
0.770754431,3.58120054
0.925732439,3.61826949
1.06800292,3.59385987
1.21693594,3.59980491
1.36012461,3.61091225
1.50756018,3.61210127
1.65473929,3.60718113
1.80349868,3.60315823
1.94425959,3.60631497
2.09521709,3.60179911
2.24626604,3.60783107
2.39260631,3.59683065
2.54583694,3.58061695
2.69116855,3.59026479
2.83200256,3.61115499
3.00443174,3.59941071
3.14394152,3.61657661
3.29489664,3.58145065
3.44211236,3.6178379
3.58478124,3.62170035
3.73481879,3.56929801
3.89944882,3.5953354
4.03829104,3.60639298
4.1853334,3.60334346
4.34143421,3.59695354
4.49557975,3.60436635
4.64664799,3.58971928
4.7964351,3.57045585
4.95349056,3.5684762
5.10212209,3.60670058
5.24968348,3.58228175
5.40279994,3.5994067
5.5677261,3.58231808
5.72316655,3.60068879
5.88171485,3.57941612
6.03444517,3.56191984
6.18621575,3.56321299
6.34805104,3.57453457
6.49507982,3.56823963
6.66372511,3.56418215
6.82008305,3.56127993
6.95856655,3.58637903
7.12272672,3.55694116
7.28588179,3.56764221
7.43990456,3.52929166
7.5979299,3.54730533
7.76069578,3.53069309
7.90679024,3.55781932
8.07584112,3.56932719
8.24500202,3.55725282
8.40689197,3.54127211
8.57521277,3.54915932
8.72993437,3.54085121
8.92299009,3.52564835
9.0840013,3.51800083
9.24855215,3.52826047
9.42212556,3.52401122
9.58844857,3.49986055
9.77194795,3.50605158
9.93112697,3.50912099
10.1154044,3.47738702
10.2720737,3.47898048
10.4479963,3.49089644
10.6235207,3.46652467
10.8014533,3.49237048
10.9790013,3.47395748
11.1751612,3.45801826
11.3509831,3.47766146
11.5286694,3.4808581
11.7151749,3.47163768
11.9011748,3.43771684
12.0845524,3.458861
12.2712369,3.43661855
12.4630815,3.40898316
12.6530045,3.41790562
12.8377309,3.42620724
13.0320974,3.42131023
13.2248322,3.40077519
13.4227363,3.42230061
13.6245184,3.40992107
13.8136023,3.37771782
14.0181625,3.38059078
14.2212385,3.38435795
14.4421214,3.36818208
14.6537466,3.35133427
14.8511142,3.32891191
15.0719756,3.35235747
15.3083858,3.34917298
15.5324418,3.35358659
15.7632989,3.33319543
15.9841761,3.30576736
16.2160601,3.30477753
