time_Jt,pst_all_up,pst_all_down,thermal_all_up,thermal_all_down,scar_all_up,scar_all_down
0,0.5,0.5,0.5,0.5,0.5,0.5
0.180360721,0.499997152,0.499997152,0.479891872,0.54621324,0.499997152,0.495325009
0.380761523,0.499775544,0.499775544,0.456362472,0.632556732,0.499775544,0.443362028
0.581162325,0.50600884,0.50600884,0.443951408,0.442429662,0.50600884,0.387053065
0.781563126,0.531223456,0.531223456,0.44986956,0.528668761,0.531223456,0.426634293
0.981963928,0.423431051,0.423431051,0.513114886,0.607730574,0.423431051,0.477555339
1.18236473,0.234761949,0.234761949,0.552692873,0.556940881,0.234761949,0.462820161
1.38276553,0.611182603,0.611182603,0.526259932,0.502717282,0.611182603,0.464438164
1.56312625,0.999176901,0.999176901,0.488928314,0.473997642,0.999176901,0.502549311
1.58316633,0.997859698,0.997859698,0.482516005,0.471762652,0.997859698,0.505769644
1.78356713,0.5346558,0.5346558,0.468628089,0.475295152,0.5346558,0.498329079
1.98396794,0.238122025,0.238122025,0.510111884,0.514153428,0.238122025,0.480709605
2.18436874,0.450499806,0.450499806,0.500870265,0.517851013,0.450499806,0.49629423
2.38476954,0.52998615,0.52998615,0.482095559,0.512200977,0.52998615,0.511134732
2.58517034,0.503921506,0.503921506,0.492900149,0.502343495,0.503921506,0.511099532
2.78557114,0.499811927,0.499811927,0.514932841,0.494244033,0.499811927,0.496718444
2.98597194,0.49999995,0.49999995,0.502980441,0.497430188,0.49999995,0.490301072
3.18637275,0.499999798,0.499999798,0.493757686,0.494517867,0.499999798,0.50541435
3.38677355,0.49997445,0.49997445,0.499295778,0.509484268,0.49997445,0.508486165
3.58717435,0.499968909,0.499968909,0.504281413,0.502698185,0.499968909,0.494123292
3.78757515,0.514061616,0.514061616,0.498881926,0.499600323,0.514061616,0.495336666
3.98797595,0.523175086,0.523175086,0.497633262,0.495269206,0.523175086,0.50181097
4.18837675,0.342323108,0.342323108,0.507624589,0.499271917,0.342323108,0.500357489
4.38877756,0.279651463,0.279651463,0.49399241,0.504118684,0.279651463,0.510205975
4.58917836,0.808409992,0.808409992,0.504046968,0.496895299,0.808409992,0.503431256
4.70941884,0.999876635,0.999876635,0.507222009,0.493786157,0.999876635,0.494231818
4.78957916,0.91990869,0.91990869,0.507714476,0.49707606,0.91990869,0.490380742
4.98997996,0.361593233,0.361593233,0.500898357,0.506471495,0.361593233,0.497174812
5.19038076,0.286959854,0.286959854,0.493162639,0.503968397,0.286959854,0.499206941
5.39078156,0.503152597,0.503152597,0.504709186,0.499688626,0.503152597,0.493083507
5.59118236,0.521351694,0.521351694,0.507103403,0.498052091,0.521351694,0.495830784
5.79158317,0.500769628,0.500769628,0.506197709,0.49802689,0.500769628,0.499745811
5.99198397,0.499931536,0.499931536,0.495799125,0.504790825,0.499931536,0.498925852
6.19238477,0.499999295,0.499999295,0.498607981,0.503536099,0.499999295,0.494673548
6.39278557,0.499999352,0.499999352,0.499684382,0.498496194,0.499999352,0.498838895
6.59318637,0.499895792,0.499895792,0.495045503,0.499280657,0.499895792,0.502385482
6.79358717,0.501386568,0.501386568,0.500117094,0.502361734,0.501386568,0.498218996
6.99398798,0.524287408,0.524287408,0.504379795,0.492796542,0.524287408,0.500207451
7.19438878,0.490849439,0.490849439,0.499878048,0.496826037,0.490849439,0.500000069
7.39478958,0.26804349,0.26804349,0.487124049,0.498087634,0.26804349,0.498328158
7.59519038,0.405943527,0.405943527,0.490434642,0.501181965,0.405943527,0.500688501
7.79559118,0.953372832,0.953372832,0.508853807,0.499425711,0.953372832,0.498545492
7.85571142,0.999957926,0.999957926,0.509301115,0.499387063,0.999957926,0.495904195
7.99599198,0.753993795,0.753993795,0.500933404,0.500924833,0.753993795,0.494121685
8.19639279,0.258115081,0.258115081,0.498030965,0.505517784,0.258115081,0.506006442
8.39679359,0.366490101,0.366490101,0.503725718,0.510547637,0.366490101,0.505385485
8.59719439,0.527620359,0.527620359,0.49457256,0.504778841,0.527620359,0.505800891
8.79759519,0.51137399,0.51137399,0.49878283,0.510528721,0.51137399,0.503762446
8.99799599,0.499841407,0.499841407,0.502061577,0.504240168,0.499841407,0.492622378
9.19839679,0.499989006,0.499989006,0.498033533,0.497323781,0.499989006,0.497542682
9.3987976,0.49999968,0.49999968,0.495759929,0.493908529,0.49999968,0.502379805
9.5991984,0.499995524,0.499995524,0.502687565,0.497923139,0.499995524,0.500457897
9.7995992,0.499780179,0.499780179,0.502702102,0.507924942,0.499780179,0.50108904
10,0.505451703,0.505451703,0.489744633,0.501182511,0.505451703,0.51014208
