s_bin_center,P_s
0.05,0.0091519219
0.15,0.0701647346
0.25,0.173886516
0.35,0.33557047
0.45,0.503355705
0.55,0.652837096
0.65,0.811470409
0.75,0.857230018
0.85,0.9609518
0.95,0.948749237
1.05,0.896888347
1.15,0.814521049
1.25,0.67114094
1.35,0.646735815
1.45,0.497254423
1.55,0.302013423
1.65,0.24100061
1.75,0.210494204
1.85,0.131177547
1.95,0.106772422
2.05,0.0457596095
2.15,0.0518608908
2.25,0.0274557657
2.35,0.00610128127
2.45,0.0091519219
2.55,0.0183038438
2.65,0
2.75,0
2.85,0
