s_bin_center,P_s
0.05,0.0183038438
0.15,0.0701647346
0.25,0.189139719
0.35,0.387431361
0.45,0.515558267
0.55,0.67114094
0.65,0.799267846
0.75,0.954850519
0.85,0.857230018
0.95,0.899938987
1.05,0.802318487
1.15,0.841976815
1.25,0.613178768
1.35,0.582672361
1.45,0.491153142
1.55,0.411836486
1.65,0.259304454
1.75,0.167785235
1.85,0.158633313
1.95,0.112873703
2.05,0.0701647346
2.15,0.067114094
2.25,0.0122025625
2.35,0.033557047
2.45,0.00610128127
2.55,0.00610128127
2.65,0
2.75,0
2.85,0
