energy_E_over_J,S_alpha
-18.7586117,0.71159105
-18.2173482,1.0520819
-18.0151998,1.10153039
-17.8169965,1.18418866
-15.8776589,2.02166891
-14.8984991,2.29084622
-14.1961512,2.50804368
-13.6340871,2.59845291
-13.1591546,2.66608342
-12.750951,2.77733051
-12.3617427,2.78821655
-12.057286,2.84638916
-11.7652896,2.92826787
-11.4916311,2.96067008
-11.2326159,2.97717973
-10.9773706,3.0240425
-10.7364858,3.04704327
-10.523647,3.10353244
-10.3137591,3.13580103
-10.1224472,3.13187517
-9.94078741,3.14513435
-9.75914228,3.21438149
-9.58658555,3.20009828
-9.42374977,3.24620443
-9.25085962,3.2565438
-9.09727293,3.27952743
-8.9459451,3.33578789
-8.79795203,3.32498569
-8.6553854,3.33802081
-8.52161406,3.34712222
-8.37884366,3.38340206
-8.24198316,3.35681811
-8.11880493,3.37145291
-7.99215276,3.40018476
-7.86751333,3.41803906
-7.74504613,3.43971883
-7.62563075,3.44634909
-7.50546028,3.47872899
-7.38687475,3.48225627
-7.26905856,3.47695154
-7.15900291,3.50614189
-7.04651811,3.48123665
-7,0.693147181
-6.93496732,3.51688193
-6.82408201,3.52106753
-6.72076083,3.52340327
-6.61689365,3.56850741
-6.51310316,3.51861061
-6.41018662,3.54468757
-6.31344711,3.57632069
-6.21314025,3.59916808
-6.11059493,3.55517523
-6.01815927,3.60954214
-5.91656522,3.57714814
-5.82377489,3.60084361
-5.72821192,3.61583321
-5.63602326,3.62203138
-5.53949514,3.60773084
-5.44346143,3.64588478
-5.35544062,3.64830682
-5.26798538,3.65099438
-5.18027972,3.64673252
-5.09133118,3.65194435
-5.00509243,3.66139577
-5,0.693147181
-4.92337761,3.6771175
-4.83328269,3.69267941
-4.75195205,3.70187898
-4.66971226,3.67988774
-4.58802512,3.70649054
-4.50242749,3.70484997
-4.4198085,3.72340965
-4.33425507,3.71402922
-4.25741063,3.71238876
-4.1746223,3.72279933
-4.09602331,3.72086834
-4.01614893,3.73445059
-3.93473584,3.71804756
-3.85903066,3.73022445
-3.7814079,3.73290836
-3.70052296,3.73875691
-3.62178301,3.73978466
-3.54675598,3.75190877
-3.47368549,3.75648805
-3.39021092,3.75687596
-3.31702322,3.76937404
-3.2415299,3.77090988
-3.16412051,3.77808615
-3.08834581,3.78073574
-3.01384332,3.75329926
-3,0.693147181
-2.94321223,3.77631807
-2.86874198,3.78484117
-2.79311092,3.79478682
-2.7231437,3.79777024
-2.65007625,3.78202835
-2.57454914,3.78484938
-2.50333048,3.80494303
-2.4312275,3.79343016
-2.36237582,3.78804866
-2.28769767,3.79828922
-2.21979821,3.81598203
-2.14614209,3.81574114
-2.0773306,3.79478948
-2.00288012,3.8258422
-1.93507641,3.82475463
-1.86272491,3.81600218
-1.79243288,3.82215417
-1.71915262,3.81920595
-1.65408556,3.81268827
-1.57761773,3.81717539
-1.5059972,3.8256217
-1.43622794,3.83191921
-1.37071089,3.82398318
-1.29899892,3.84567297
-1.22821424,3.83716363
-1.16003253,3.83164004
-1.09050796,3.8251819
-1.02082887,3.81473817
-1,0.693147181
-0.957699139,3.82356313
-0.888389768,3.84243953
-0.819544891,3.84366035
-0.747403981,3.82941944
-0.681789264,3.84821279
-0.612437393,3.83631063
-0.542898171,3.85089318
-0.471636219,3.84892992
-0.409381797,3.8325879
-0.339478057,3.83545318
-0.266978478,3.84299175
-0.201357561,3.83146718
-0.132550181,3.84940119
-0.0616721926,3.84612487
0,-0
0.00213562645,3.83316675
0.0693889595,3.83874854
0.137478408,3.84161074
0.208035303,3.85730814
0.274401607,3.85452538
0.342423224,3.84030775
0.410289322,3.85413657
0.481263278,3.84354405
0.54423173,3.85847782
0.616245425,3.86420884
0.686019539,3.85911211
0.753802469,3.85083041
0.820075239,3.84351534
0.888369356,3.83383184
0.959171567,3.83768018
1,0.693147181
1.02824694,3.83235379
1.09523596,3.84501026
1.16519497,3.82937689
1.23627417,3.82194124
1.30157759,3.83681307
1.37482877,3.83035744
1.44417755,3.83973461
1.51651793,3.834307
1.5835804,3.83960151
1.65218089,3.81672487
1.72438923,3.83549061
1.79318633,3.82344638
1.85984073,3.82891546
1.9344352,3.83000611
2.00483986,3.80510506
