U_over_J,observable,t_over_T,j_minus10,j_0,j_plus10
0,n,0,0,1,0
0,n,0.5,0,0.997423,0
0,n,1,0.000712,0.044234,0
0,n,1.5,0.097394,0.016493,0.008191
0,n,2,0.768983,0.013344,0.958193
0,n,2.5,0.892900,0.012841,0.949243
0,n,3,0.623310,0.013341,0.946975
0,d,0,0,0,0
0,d,0.5,0,0.108088,0
0,d,1,0,0.001137,0
0,d,1.5,0.000475,0.000312,0
0,d,2,0.212351,0.000205,0.034355
0,d,2.5,0.489042,0.000204,0.088629
0,d,3,0.214839,0.000197,0.079420
2,n,0,0,1,0
2,n,0.5,0,1.328440,0
2,n,1,0,0.232518,0
2,n,1.5,0.026619,0.033753,0.008511
2,n,2,0.512406,0.209034,0.630252
2,n,2.5,0.434425,0.016807,0.936439
2,n,3,0.433774,0.143629,0.518996
2,d,0,0,0,0
2,d,0.5,0,0.581241,0
2,d,1,0,0.040542,0
2,d,1.5,0.000007,0.001772,0
2,d,2,0.065971,0.014624,0.015893
2,d,2.5,0.051152,0.001539,0.050233
2,d,3,0.080438,0.005153,0.081677
10,n,0,0,1,0
10,n,0.5,0,1.214330,0
10,n,1,0,1.100380,0
10,n,1.5,0.028895,0.608053,0.020477
10,n,2,0.365528,0.775932,0.224201
10,n,2.5,0.383620,0.306483,0.298523
10,n,3,0.336992,0.507883,0.528946
10,d,0,0,0,0
10,d,0.5,0,0.857418,0
10,d,1,0,0.655763,0
10,d,1.5,0,0.280270,0
10,d,2,0.002295,0.405624,0.035783
10,d,2.5,0.001035,0.098786,0.000629
10,d,3,0.007045,0.198611,0.080456
36,n,0,0,1,0
36,n,0.5,0.373382,0.491698,0.008853
36,n,1,0.047305,0.384563,0.043140
36,n,1.5,0.103294,0.262119,0.006689
36,n,2,0.029608,0.198578,0.031759
36,n,2.5,0.196927,0.221187,0.885978
36,n,3,0.023547,0.096125,0.026106
36,d,0,0,0,0
36,d,0.5,0.002676,0.220474,0.000144
36,d,1,0.003879,0.187635,0.001050
36,d,1.5,0.001096,0.107359,0.001038
36,d,2,0.004793,0.096223,0.003700
36,d,2.5,0.013120,0.067594,0.000091
36,d,3,0.006970,0.045204,0.004546
50,n,0,0,1,0
50,n,0.5,0,0.992537,0
50,n,1,0.000907,0.064025,0
50,n,1.5,0.127468,0.031270,0.008217
50,n,2,0.752638,0.032555,0.966206
50,n,2.5,0.850916,0.030387,0.941561
50,n,3,0.773692,0.031978,0.944717
50,d,0,0,0,0
50,d,0.5,0,0.003059,0
50,d,1,0,0.007464,0
50,d,1.5,0.000000,0.006472,0
50,d,2,0.000003,0.006620,0.000028
50,d,2.5,0.000007,0.006416,0.000023
50,d,3,0.000031,0.006460,0.000229
